TF	patient_fixed_support	PDX_fixed_support	cell_line_fixed_support	triple_system_fixed_original_denominator	patient_matchable_support	PDX_matchable_support	cell_line_matchable_support	triple_system_matchable_denominator
CREB3L2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
E2F5	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ELF3	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ETV1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
FOXA3	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
FOXD2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
NFATC4	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
NR3C2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
XBP1	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
ZBTB18	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ZNF141	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ZNF19	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ZNF254	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ZNF281	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ZNF33A	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ZNF33B	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ZNF341	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ZNF444	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ZNF540	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ZNF75D	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
