data_group	file_name	description	source_path	output_path	bytes	md5
1	tcga_manifest.tsv	TCGA discovery cohort manifest	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure1-v2/data/processed/tcga_manifest.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_01/tcga_manifest.tsv	64112	2fc1e0797d3900787cee6309ff1acdbe
1	gse81089_manifest.tsv	GSE81089 validation cohort manifest	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure1-v2/data/processed/gse81089_manifest.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_01/gse81089_manifest.tsv	11835	5c2958663765c946758918308d31d87b
1	gse41271_manifest.tsv	GSE41271 microarray validation manifest	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure1-v2/data/processed/gse41271_manifest.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_01/gse41271_manifest.tsv	51379	54753d99efca448acfe2b1f76b0d7c6d
1	SupplementaryFigure1_inclusion_counts.tsv	Patient inclusion counts	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure1-v2/results/tables/SupplementaryFigure1_inclusion_counts.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_01/SupplementaryFigure1_inclusion_counts.tsv	242	5e7e0a69c099c37360773272aa48f95f
1	pdmr_manifest.tsv	PDMR PDX manifest	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure1-v2/data/processed/pdmr_manifest.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_01/pdmr_manifest.tsv	10893	a7c631a0f2d44cee284b652c55f30c79
1	depmap_manifest.tsv	DepMap cell-line manifest	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure1-v2/data/processed/depmap_manifest.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_01/depmap_manifest.tsv	31664	68f4e99f3b27b252bb91ee350cd62a3f
2	TCGA_msviper.tsv	TCGA differential TF activity	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure1-v2/results/tcga/TCGA_msviper.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_02/TCGA_msviper.tsv	131165	ae2d7b183256953b251a2ea5543c5b1e
2	GSE81089_msviper.tsv	GSE81089 differential TF activity	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure1-v2/results/gse81089/GSE81089_msviper.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_02/GSE81089_msviper.tsv	127846	23198096cfb366a3ca4de4cefd91c362
2	GSE41271_msviper.tsv	GSE41271 differential TF activity	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure1-v2/results/gse41271/GSE41271_msviper.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_02/GSE41271_msviper.tsv	103475	ca9d75a2db88e44d6c588a67f6f9ec97
2	SupplementaryFigure2B_TF_overlap_counts.tsv	Independent-cohort TF overlap	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure1-v2/results/tables/SupplementaryFigure2B_TF_overlap_counts.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_02/SupplementaryFigure2B_TF_overlap_counts.tsv	137	36cf1c32f399682367aef0ae2dceb7dc
