result_id	route_id	run_id	figure_id	status	summary	claim_effect	next_action	limitation	source_table
G1-DATA	crc-immune-tf-gate1	G1-AUDIT-FINAL		passed	206 patients at >=50 Cancer cells; M=46; nonM=160; 4 informative datasets; maximum M dataset share 21.7%	Data are sufficient and the gate is scientifically interpretable	Proceed to phenotype criterion	Author Cancer cell labels are annotation, not DNA-confirmed malignancy	G1_input_audit_receipt.json
G1-M-SIGNAL	crc-immune-tf-gate1	G1-PHENOTYPE		passed	Myeloid median 20.64% vs 6.48%; P=1.53e-20; Cliff delta=0.888; LODO AUROC=0.905	M label has strong composition meaning	Apply the full four-class stopping criteria	Association and annotation validation only	G2_phenotype_gate_receipt.json
G1-FOUR-CLASS	crc-immune-tf-gate1	G1-PHENOTYPE		failed	Correlation-distance ARI=0.173 and median 50-seed K-means ARI=0.232	The author four-class exposure is not independently stable enough for the frozen transfer route	Stop	Does not imply absence of a binary M signal	G2_phenotype_gate_receipt.json
G1-FINAL	crc-immune-tf-gate1	G1-DECISION		fail_stop	FAIL; downstream not run due to pre-specified stop	Do not claim or search for a TNBC-style CRC TF program on this route	No further analysis	TF modules built but deliberately not run on real expression	G0_gate1_decision.json
G1R-DATA	crc-M-vs-rest-aracne3-viper	G1R-FORMAL		passed	206 primary-threshold patients, M=46, nonM=160; 3 informative independent studies; all 16 data/network conditions passed	The corrected regulatory gate is scientifically interpretable	Evaluate the frozen TF program conditions	Only 119 patients from 3 studies enter independent-study inference	pseudobulk_receipt.json
G1R-NETWORK	crc-M-vs-rest-aracne3-viper	G1R-FORMAL		passed	CRC ARACNe3 subnet1 has 268758 edges and 2051 regulators; 2028 regulons are measurable in CRC-atlas	CRC-specific network and patient VIPER activity were successfully built	Run frozen meta and msVIPER	STAR TPM differs from the TNBC anchor Kallisto input	aracne3_receipt.json
G1R-PROGRAM	crc-M-vs-rest-aracne3-viper	G1R-FORMAL		failed	0 of 2028 TFs meet all cross-study reproducibility criteria; 0 meet msVIPER FDR 0.01	No qualifying M-vs-rest Cancer-cell TF program was established	Apply the user-defined FAIL rule	Seven meta and 134 msVIPER nominal signals do not survive multiplicity control	statistics_receipt.json
G1R-SENSITIVITY	crc-M-vs-rest-aracne3-viper	G1R-FORMAL		failed_confirmatory	At 20, 100 and 200 Cancer-cell thresholds the reproducible TF count remains 0	The negative gate result is not caused by the 50-cell threshold	Keep FAIL	Only three independent informative studies at every threshold	sensitivity_summary.tsv
G1R-LOSO	crc-M-vs-rest-aracne3-viper	G1R-FORMAL		mixed_secondary	Stratified AUROC 0.651, bootstrap 95% CI 0.528-0.762, permutation p 0.01996; CI strong-support condition failed	There is borderline predictive information but not strong LOSO support	Report separately; do not use as hard veto or rescue	Joanito held-out AUROC is 0.509	statistics_receipt.json
G1R-FINAL	crc-M-vs-rest-aracne3-viper	G1R-FORMAL		fail_stop	FAIL with stop_now=true; all data conditions true and both scientific conditions false	Do not continue TNBC chromatin or therapy transfer using M-vs-rest as the current entry	Stop; a future subtype requires a new frozen manifest and human authorization	Strict evidence threshold with only 3 independent studies; absence of evidence is not proof of no TF biology	gate_decision.json
