route_id	decision_status	evidence_stage	route_role	mode	capability_ids	title	question	target_disease	target_object	biological_unit	comparison	primary_outcome	claim_ceiling	falsifier	anchor_reuse	changed_axes	scientific_review	science_basis	minimum_main_figures	data_burden	code_burden	beginner_burden	estimated_calendar_time	model_spec_required	main_risk	stop_condition
SPP-R01	candidate	direction_audited	supporting	combined	CAP-RESOURCE-INTEGRITY;CAP-PATIENT-ID-LINKAGE;CAP-BULK-FIXED-SIGNATURE	锚点ATP5F1E/MT-CO1代谢构念的供体级稳健性修复	锚点提出的ATP5F1E与MT-CO1分型在去除线粒体QC组织研究和治疗混杂后是否仍成立，能否用可复现的多基因程序替代单marker？	colorectal cancer and colorectal liver metastasis	SPP1/SELENOP macrophage metabolic transcriptional programs	patient or donor	matched and cohort-stratified CRC versus CRLM and adjacent tissues with QC treatment and study sensitivity	locked program donor-level effect size cross-cohort reproducibility and patient-level spatial localization	supporting robustness evidence for related target routes; not an independent manuscript claim unless separately approved	removing mitochondrial genes and adjusting pct.mt donor tissue study and treatment eliminates the state or two independent cohorts fail to reproduce its direction	cross-anatomical atlas;myeloid zoom-in;metabolic subdivision;spatial evidence order	single-marker subtype to multigene program;cell-level to donor-level inference;causal therapy module omitted	conditional	This is a hard-flaw repair and shared quality-control layer. It does not become a target-paper route merely because the anchor construct is questionable; manuscript value would require a separately approved robustness or methods question.	4	high	high	high	8-12 weeks after a 1-2 week shared feasibility spike	true	The stable program may disappear after correct QC or remain too close to published CRLM macrophage metabolism studies	retain as supporting analysis only unless a separate methods question is approved; stop the construct if no program survives donor-aware QC and independent validation
SPP-R02	candidate	direction_audited	manuscript_candidate	combined	CAP-RESOURCE-INTEGRITY;CAP-PATIENT-ID-LINKAGE;CAP-BULK-FIXED-SIGNATURE	细胞来源分辨的SPP1免疫排斥生态	巨噬细胞来源的SPP1程序是否比肿瘤细胞或CAF来源的SPP1更稳定地关联CRLM中的CD8 T细胞空间排斥？	colorectal cancer and colorectal liver metastasis	cell-source-specific SPP1 programs and CD8 T-cell exclusion	patient or donor	macrophage-derived versus tumour-derived versus fibroblast-derived SPP1 programs across primary CRC and CRLM	patient-level source-specific SPP1 program association with spatial CD8 proximity and exhaustion programs	source-resolved retrospective spatial and transcriptomic association; no causal ligand-source claim without perturbation	after tumour purity CAF abundance tissue and study adjustment macrophage-specific SPP1 has no independent association or the source assignment fails spatial negative controls	SPP1 focal object;single-cell to spatial to immune-ecology sequence;competing cell interactions	absolute SPP1 abundance to source attribution;pooled CellChat to patient-level spatial models;therapy module omitted	conditional	This directly repairs the anchor source ambiguity and uses public primary and CRLM candidates, but recent SPP1-CAF-tumour literature makes source identifiability and concrete claim overlap major gates.	5	high	high	high	14-18 weeks after source-attribution spike	true	Cell-source deconvolution may be underidentified and closely related papers already connect tumour or macrophage SPP1 to CAF and T-cell exclusion	stop if source compartments lack donor coverage, spatial attribution fails mixture and permutation controls, or the final source-outcome claim is already published
SPP-R03	candidate	direction_audited	manuscript_candidate	combined	CAP-RESOURCE-INTEGRITY;CAP-PATIENT-ID-LINKAGE	部位与术前治疗共同塑造的SPP1巨噬细胞状态	在患者配对的原发CRC和肝转移中，SPP1巨噬细胞程序的差异有多少来自转移部位，有多少与术前治疗及治疗反应相关？	colorectal cancer liver metastasis	treatment-contextual macrophage state reprogramming	patient or donor	paired primary versus liver metastasis stratified by untreated treated and response context	donor-level site by treatment interaction for a locked macrophage program	retrospective treatment-associated state remodeling; not a causal treatment-response biomarker	metadata cannot separate site from treatment or the site by treatment effect fails in an independent cohort	cross-site atlas;TAM state comparison;immune-context interpretation	treatment treated as design variable rather than hidden batch;interaction model replaces pooled enrichment;regorafenib claim removed	conditional	This turns a major anchor confounder into a biological question and has GSE178318 as a public candidate, but the design matrix is unparsed and the source papers already study chemotherapy-driven CRLM remodeling.	4	medium	high	high	10-14 weeks after metadata and design-rank spike	true	Treatment labels response definitions and site may be too confounded and the central question may duplicate the data-generating papers	stop if no cohort contains an estimable crossed site-treatment design or nearest-literature audit leaves no distinct macrophage-specific question
SPP-R04	candidate	direction_audited	manuscript_candidate	combined	CAP-RESOURCE-INTEGRITY	直接SPP1扰动与抗PD1析因验证	巨噬细胞来源SPP1对CRLM免疫排斥是否必要，并与抗PD1存在预先定义的治疗交互？	colorectal cancer liver metastasis	macrophage-derived SPP1 necessity and treatment interaction	mouse plus biological replicate	macrophage-specific Spp1 perturbation or direct blockade crossed with anti-PD1 in a complete factorial design	predefined interaction effect on liver metastatic burden and patient-relevant CD8 functional endpoints	preclinical necessity and model-specific treatment interaction only	SPP1-specific perturbation does not change the prespecified CD8 or metastasis endpoint or the treatment interaction interval excludes the synergy threshold	intervention ladder;SPP1 focal state;CD8 readout;combination-therapy ending	multikinase proxy to direct perturbation;three-arm to full factorial;source ambiguity to lineage-specific manipulation	conditional	This is the strongest direct repair of the anchor causal and synergy gaps, but no collaborator ethics budget or raw animal resource is recorded. It remains a concrete candidate rather than a near-term computational recommendation.	5	high	medium	high	12-18 months with an established wet-lab collaborator	false	Wet-lab access cost power randomization and independent replication are outside current confirmed resources	do not activate unless a named collaborator accepts the direct-perturbation and full-factorial contract with feasible budget timeline and power review
SPP-R05	candidate	direction_audited	training	reproduction	CAP-RESOURCE-INTEGRITY;CAP-PATIENT-ID-LINKAGE	公开数据下的锚点核心方向有界复现	在一个来源清楚的公共CRLM单细胞队列中，能否以供体为单位复现SPP1相对SELENOP巨噬细胞程序的组织方向并暴露原方法的敏感性？	colorectal cancer liver metastasis	published SPP1 versus SELENOP macrophage contrast	patient or donor	CRC versus CRLM versus adjacent liver within one audited public cohort	donor-level direction and QC sensitivity of the published contrast	analysis reproduction and methods-learning baseline only	public files cannot be mapped to donor and tissue or the published direction is not recovered under any defensible locked specification	myeloid zoom-in;SPP1 versus SELENOP contrast;one central Figure role	large integrated atlas reduced to one traceable cohort;patient-level repair added	passed	This is the bounded shared first run for learning and module qualification. It is intentionally close to the anchor and cannot become a target paper merely because execution succeeds.	2	medium	medium	medium	2-4 weeks	true	Technical success could be mistaken for manuscript value	retain as training even if successful;do not promote without a separately reviewed distinct target question
SPP-R06	stopped	direction_audited	manuscript_candidate	signature	CAP-RESOURCE-INTEGRITY;CAP-PATIENT-ID-LINKAGE;CAP-BULK-FIXED-SIGNATURE	在CRC/CRLM中再做同结局SPP1+TAM预后或肝转移signature（具体方案）	能否从SPP1+TAM差异基因再构建一个CRC预后或肝转移模型？	colorectal cancer	SPP1+TAM-derived bulk signature	patient	high versus low model score	overall survival or liver metastasis classification	retrospective model association only	performance does not survive untouched validation and calibration	bulk bridge and clinical Figure role	new feature-selection algorithm or gene list while retaining the same object and outcome	failed	The anchor already reports the same object for prognosis and liver-metastasis AUC. Merely changing algorithm or gene count preserves the same clinical question and maximizes leakage risk. This stops only this concrete formulation, not the signature category.	4	medium	medium	medium	8-12 weeks	true	Substantive overlap with the anchor and optimistic validation	stop this formulation unless a genuinely different clinical decision and untouched external cohort are demonstrated before modeling
SPP-R07	stopped	direction_audited	manuscript_candidate	pan_cancer	CAP-RESOURCE-INTEGRITY;CAP-PATIENT-ID-LINKAGE	重复CXCL9:SPP1泛癌免疫极性图谱（具体方案）	能否再次扩展CXCL9:SPP1巨噬细胞极性并描述跨癌免疫抑制生态？	pan-cancer	CXCL9:SPP1 macrophage polarity	patient or donor	SPP1-high versus CXCL9-high macrophage states across cancers	cross-cancer association with immune ecology	cross-sectional pan-cancer association only	results reproduce the known CXCL9:SPP1 polarity network or reduce to cancer composition	SPP1 focal object;multi-cohort atlas;immune network	cancer scope expanded without changing the central question	failed	Science 2023 already established this specific polarity and coordinated pan-cancer program. This stops the repeated question, not pan-cancer studies as a category.	4	high	high	high	16-24 weeks	true	Direct overlap with the established CXCL9:SPP1 pan-cancer framework	stop this formulation; a future pan-cancer candidate must define a different cross-cancer question and suitable data contract
SPP-R08	candidate	direction_audited	manuscript_candidate	marker	CAP-RESOURCE-INTEGRITY;CAP-PATIENT-ID-LINKAGE;CAP-BULK-FIXED-SIGNATURE	以SELENOP+巨噬细胞程序为核心的CRC肝转移简单替换路线	在患者级CRC到CRLM比较中，SELENOP+ resident-like巨噬细胞程序的丢失相对SPP1+程序是否稳定，并能否在CRLM空间数据中定位？	colorectal cancer and colorectal liver metastasis	SELENOP+ resident-like macrophage program relative to SPP1+ program	patient or donor	paired or cohort-stratified primary CRC versus CRLM and adjacent liver	donor-level SELENOP program abundance and expression contrast plus patient-level CRLM spatial localization	retrospective association of a locked macrophage program with metastatic tissue context; no protective or causal claim	donor mapping fails, the direction is not reproduced in an independent cohort, or the final question is already fully answered by the anchor or nearest papers	SPP1 versus SELENOP contrast;cross-anatomical comparison;single-cell to spatial evidence order	core focus shifted from harmful SPP1 state to loss of SELENOP state;single marker replaced by locked program;patient-level inference added	conditional	This is a deliberately simple one-axis refocus and must be considered seriously. It shares obtainable public candidates and fewer modules with the bounded reproduction, but overlap with the anchor, primary-CRC SELENOP spatial work and protective C1QC TAM literature remains an explicit stop gate.	4	medium	medium	medium	8-12 weeks after a 1-2 week shared spike	true	The route may be only a reframing of the anchor contrast or a proxy for broader resident macrophage loss	stop if donor-level direction is unstable, no independent spatial support exists, or concrete claim overlap leaves no distinct target-paper question
SPP-R09	stopped	direction_audited	supporting	cancer_type	CAP-RESOURCE-INTEGRITY;CAP-PATIENT-ID-LINKAGE	已发表字面方案记录：胃癌SPP1+TAM—exhausted CD8—免疫治疗抵抗	把锚点的SPP1+TAM与CD8耗竭/免疫治疗抵抗故事原样移到胃癌肝转移是否会实质重复？	gastric cancer liver metastasis	SPP1+ macrophages and exhausted CD8 T cells	patient or donor	primary gastric cancer versus liver metastasis and adjacent liver	patient-level SPP1 macrophage association with exhausted CD8 programs	this record limits only the literal repeated formulation	nearest studies already answer the same object-relation-outcome question	cross-site atlas;SPP1 focal object;immune-ecology bridge	literal cancer-label substitution recorded for overlap control	failed	The literal formulation overlaps 2024 and 2026 gastric cancer studies. This row is now an overlap record rather than a proxy for the cancer-type axis; those papers and GSE246662 GSE163558 GSE239676 and GSE237876 remain active donors for R02 R12 R13 and R14.	4	unknown	unknown	unknown	not applicable to a stopped literal formulation	true	Mistaking a stopped sentence for a ban on gastric cancer or donor reuse	stop only this literal formulation; retain every separable framework data method code and object asset for recombination
SPP-R10	stopped	direction_audited	supporting	cell_type	CAP-RESOURCE-INTEGRITY;CAP-PATIENT-ID-LINKAGE	已发表字面方案记录：TREM2+脂质负载巨噬细胞作为CRLM治疗靶点	再次主张TREM2+脂质负载巨噬细胞驱动CRLM炎症并可作为治疗靶点是否会实质重复？	colorectal cancer liver metastasis	TREM2+ lipid-laden macrophages	patient or donor	TREM2+ lipid-laden macrophages versus alternative macrophage states	multi-omic inflammatory association and therapeutic-target evidence	this record limits only the literal repeated formulation	the exact disease-cell-relation-outcome combination is already published	cross-site myeloid atlas;metabolic state;spatial and therapeutic evidence order	literal TREM2 target formulation recorded for overlap control	failed	Cancer Letters 2026 already publishes this exact CRLM multi-omic inflammatory-driver and therapeutic-target statement. This row is not a proxy for the immune-cell axis; its multi-omic spatial lipid pathway neutrophil and intervention assets remain active donors for R11 and future combinations.	5	unknown	unknown	unknown	not applicable to a stopped literal formulation	true	Mistaking a stopped sentence for a ban on TREM2-derived methods or other immune-cell candidates	stop only this literal formulation; retain every separable framework data method code and object asset for recombination
