panel_id	anchor_panel_role	crc_replacement_data	replacement_level	data_reason	code_source	code_reuse_level	required_repair	verification_gate
F1A	研究设计与多队列证据链示意	CRC-atlas单细胞图谱、GSE225857配对原发灶/肝转移单细胞与空间数据、TCGA-COAD/READ及GSE39582	完整模仿（待真实运行）	CRC已有单细胞、空间、临床和依赖性数据，可画出同角色设计图；这只是研究设计可组装，不是结果已成立	目标项目自写可追溯绘图脚本；CRC-atlas README仅作数据流程依据	重建	所有数据版本、患者重叠和每一层的用途必须写入manifest	所有必需数据文件实际解析，患者/样本关系冻结，设计图与manifest逐项一致
F1B	主要细胞类型标记基因点图	CRC-atlas处理后H5AD及作者细胞注释	完整模仿（待真实运行）	公开对象包含表达矩阵与细胞标签，能承担同一注释核查角色	CRC-atlas作者图谱读取/注释代码+Scanpy或Seurat官方实现	改造	不能把作者标签直接当真值；需核查marker、双细胞和低质量群	固定细胞子集后，marker方向在主要队列和供者中一致
F1C	七大细胞群UMAP	CRC-atlas处理后H5AD	完整模仿（待真实运行）	可在CRC数据上重画主要谱系嵌入	CRC-atlas作者图谱构建代码；大对象优先读取作者嵌入，必要时用Scanpy重算	改造	区分“复用作者嵌入”与“目标项目重建嵌入”，不得混称	固定对象版本、随机种子和颜色映射；输出细胞/供者计数表
F1D	Normal/Tumor/PVTT/MLN的细胞类型分布	CRC-atlas Table S1和H5AD中的正常/息肉/原发CRC/肝转移/淋巴结标签	完整模仿（待真实运行）	CRC可用疾病状态替换HCC状态并保留“跨状态细胞生态”角色	CRC-atlas作者元数据处理代码+目标项目分组脚本	改造	状态必须映射到真实组织而非把分期当部位；保留dataset、患者和治疗标签	逐状态独立患者数、队列来源和缺失值审计通过
F1E	各组织细胞组成比例	CRC-atlas H5AD和患者/样本表	完整模仿（待真实运行）	样本级组成可计算	目标项目自写donor-aware组成统计；绘图可参考CRC-atlas代码	重建	不能以细胞为独立重复；需组成数据模型或患者级汇总，并检查队列混杂	每个比较组达到预先规定的独立患者数；患者级效应和敏感性分析一致
F1F	样本间细胞比例相关热图	CRC-atlas H5AD和样本级细胞比例	完整模仿（待真实运行）	相同统计对象可获得	目标项目自写样本级相关/偏相关脚本	重建	分层或调整dataset、组织和测序平台；相关不解释为细胞互作	每个点对应独立样本/患者，留一队列后方向稳定
F2A	15个GEP聚类为4个恶性meta-program	CRC-atlas恶性上皮细胞；必要时用GSE225857作队列外检查	完整模仿（待真实运行）	CRC具有足量恶性细胞，理论上可从非负计数重新发现并合并稳定程序	官方cNMF为底座；CRC-atlas髓系cNMF notebook只补处理细节	补建	先验证原始/计数层、恶性识别、K选择、种子稳定性、供者和队列留出	小规模真实cNMF成功；程序在多种子、供者和队列留出中达到预设稳定阈值
F2B	四个meta-program在UMAP上的得分	同F2A产生的CRC恶性程序和细胞嵌入	完整模仿（待真实运行）	只要F2A得到冻结程序即可承担相同展示角色	官方cNMF输出+目标项目绘图脚本	补建	得分公式、基因缺失和缩放方法冻结；不可用目标结局调参	重算得分与cNMF usage相关，跨队列映射方向一致
F2C	按优势meta-program标色恶性细胞	同F2A	完整模仿（待真实运行）	可由每个细胞的程序usage生成	官方cNMF输出+目标项目绘图脚本	补建	优势程序阈值和混合状态处理预先规定	不同阈值下主要结论稳定，并报告未分配/混合细胞
F2D	meta-program在原发、PVTT、MLN间的分布	CRC原发灶与肝转移；可加入正常/息肉但不称恶性程序	完整模仿（待真实运行）	CRC-atlas含原发和肝转移，GSE225857有6位配对患者	目标项目donor-aware程序使用模型	补建	主检验优先使用配对GSE225857；大图谱作跨队列复现，防止部位与队列混杂	配对结果与跨队列结果方向相容；报告每组患者数和治疗状态
F2E	各meta-program标记基因点图	冻结的CRC恶性程序	完整模仿（待真实运行）	程序top genes可直接生成同角色面板	官方cNMF输出+Scanpy/Seurat绘图	补建	排除细胞周期、核糖体、应激等技术主导的退化程序并保留完整top-gene表	标记在多供者表达且程序特异性通过预设标准
F2F	Hallmark功能得分验证meta-program	冻结的CRC程序和MSigDB Hallmark	完整模仿（待真实运行）	公开基因集可检验功能一致性	GSEA/fgsea或decoupler官方实现	补建	冻结MSigDB版本；校正多重检验；避免用同一基因集既命名又独立“验证”	富集结果在留出队列复现，且报告基因重叠驱动项
F2G	恶性细胞伪时序轨迹	CRC恶性细胞横断面数据	模块化模仿	可运行轨迹算法，但横断面细胞不能证明从正常到转移的时间演化	Monocle/Slingshot官方实现；同类论文仅补参数参考	补建	降级为“状态连续性/相邻关系”；用患者分层、RNA velocity或纵向证据才可提高主张	轨迹不由患者/队列单独驱动；根节点选择和多算法敏感性公开
F2H	四个meta-program沿伪时序变化	F2G轨迹与F2A程序	模块化模仿	图可以生成，但只支持状态排序而非真实进展路径	Monocle/Slingshot+目标项目平滑绘图	补建	明确伪时序是模型坐标；不得以此证明“起始/终末”	在替代根节点和留一供者分析中曲线关系稳定
F2I	与Gavish泛癌meta-program相似性	冻结CRC程序与已发表泛癌程序表	完整模仿（待真实运行）	同一参考程序可公开取得并计算余弦相似度	目标项目自写基因交集和相似性脚本	重建	统一基因ID、背景集和程序方向，做置换基线	真实相似度超过匹配大小的随机基因集分布
F2J	与Hoshida HCC亚型对应	CRC CMS1-4分类及官方CMSclassifier	完整模仿（待真实运行）	不是照搬Hoshida，而是用CRC公认分型承担“映射疾病特异分型”的相同证据角色	CMSclassifier/crcsc官方实现+目标项目投影脚本	补建	区分单细胞程序与bulk CMS的组成效应；在恶性细胞伪bulk和患者bulk双层分析	CMS映射在TCGA-COAD/READ和独立bulk队列方向一致
F2K	与Boyault HCC亚型对应	CRC CRIS或iCMS分型/签名	完整模仿（待真实运行）	CRC存在第二套互补分型，可承担交叉分型角色	公开CRIS/iCMS签名+目标项目实现	补建	不得把两套高度相关分型当两次独立验证；明确算法和可用基因	预先冻结签名并在独立CRC bulk队列复现
F3A	四种恶性状态的pySCENIC转录因子活性	CRC恶性细胞与冻结meta-program	完整模仿（待真实运行）	表达矩阵和状态标签可支持调控活性推断	pySCENIC官方实现；目标项目固定数据库与随机种子	补建	调控网络是推断；需固定motif/TF数据库版本并做供者伪bulk检查	regulon在多供者及替代方法中方向稳定
F3B	Monocle恶性细胞轨迹	CRC恶性细胞	模块化模仿	能复刻方法和图形，不能把横断面排序写成分化或肿瘤演化证据	Monocle官方实现	补建	同F2G；与F2G避免重复堆图，必要时只保留一个轨迹面板	多根节点/多算法结果一致且患者混杂不过度
