TF	discovery_category	replicated_GSE81089	replicated_GSE41271	replicated_both
ABHD14B	LUAD	FALSE	TRUE	FALSE
ATOH8	LUAD	TRUE	TRUE	TRUE
CIITA	LUAD	FALSE	TRUE	FALSE
CREB3L2	LUAD	TRUE	TRUE	TRUE
CRY2	LUAD	TRUE	TRUE	TRUE
ELF3	LUAD	TRUE	TRUE	TRUE
EPAS1	LUAD	TRUE	TRUE	TRUE
ESR1	LUAD	TRUE	TRUE	TRUE
ETV1	LUAD	TRUE	TRUE	TRUE
FOXA1	LUAD	TRUE	TRUE	TRUE
FOXA2	LUAD	TRUE	TRUE	TRUE
FOXA3	LUAD	TRUE	TRUE	TRUE
FOXD2	LUAD	TRUE	TRUE	TRUE
FOXP4	LUAD	FALSE	TRUE	FALSE
GATA5	LUAD	TRUE	TRUE	TRUE
GLIS3	LUAD	FALSE	TRUE	FALSE
HNF4G	LUAD	TRUE	TRUE	TRUE
HOXD1	LUAD	TRUE	TRUE	TRUE
IRF7	LUAD	FALSE	TRUE	FALSE
IRX3	LUAD	TRUE	TRUE	TRUE
KLF2	LUAD	FALSE	TRUE	FALSE
KLF9	LUAD	FALSE	TRUE	FALSE
LMO3	LUAD	TRUE	TRUE	TRUE
LPIN2	LUAD	TRUE	TRUE	TRUE
LYL1	LUAD	FALSE	TRUE	FALSE
MEF2C	LUAD	TRUE	TRUE	TRUE
MEF2D	LUAD	FALSE	TRUE	FALSE
MEIS3P1	LUAD	FALSE	TRUE	FALSE
MESP1	LUAD	FALSE	TRUE	FALSE
MITF	LUAD	FALSE	TRUE	FALSE
MXD4	LUAD	FALSE	TRUE	FALSE
NCOA7	LUAD	TRUE	TRUE	TRUE
NFE2	LUAD	TRUE	TRUE	TRUE
NR0B2	LUAD	TRUE	TRUE	TRUE
NR2F1	LUAD	TRUE	TRUE	TRUE
NR3C2	LUAD	TRUE	TRUE	TRUE
PHC2	LUAD	TRUE	TRUE	TRUE
PPARGC1A	LUAD	FALSE	TRUE	FALSE
PRDM16	LUAD	TRUE	TRUE	TRUE
RARA	LUAD	TRUE	TRUE	TRUE
RORB	LUAD	FALSE	TRUE	FALSE
RORC	LUAD	TRUE	TRUE	TRUE
SMAD6	LUAD	FALSE	TRUE	FALSE
SP110	LUAD	FALSE	TRUE	FALSE
SPDEF	LUAD	TRUE	TRUE	TRUE
TBX15	LUAD	TRUE	TRUE	TRUE
TBX4	LUAD	FALSE	TRUE	FALSE
TCF21	LUAD	TRUE	TRUE	TRUE
TFCP2L1	LUAD	TRUE	TRUE	TRUE
TP53INP1	LUAD	FALSE	TRUE	FALSE
VDR	LUAD	FALSE	TRUE	FALSE
WTIP	LUAD	FALSE	TRUE	FALSE
WWC1	LUAD	TRUE	TRUE	TRUE
WWC2	LUAD	TRUE	TRUE	TRUE
XBP1	LUAD	FALSE	TRUE	FALSE
ZBTB16	LUAD	FALSE	TRUE	FALSE
ZFP2	LUAD	TRUE	TRUE	TRUE
ZMYND15	LUAD	FALSE	TRUE	FALSE
ZNF254	LUAD	TRUE	TRUE	TRUE
ZNF281	LUAD	TRUE	TRUE	TRUE
ZNF33A	LUAD	TRUE	TRUE	TRUE
ZNF341	LUAD	FALSE	TRUE	FALSE
ZNF429	LUAD	TRUE	TRUE	TRUE
ZNF467	LUAD	TRUE	TRUE	TRUE
ZNF493	LUAD	TRUE	TRUE	TRUE
ZNF540	LUAD	TRUE	TRUE	TRUE
ZNF541	LUAD	FALSE	TRUE	FALSE
ZNF597	LUAD	TRUE	TRUE	TRUE
ZNF608	LUAD	TRUE	TRUE	TRUE
ZNF671	LUAD	TRUE	TRUE	TRUE
ACTL6A	LUSC	TRUE	TRUE	TRUE
AEBP2	LUSC	TRUE	TRUE	TRUE
ARNTL2	LUSC	TRUE	TRUE	TRUE
ATAD2	LUSC	TRUE	TRUE	TRUE
BACH2	LUSC	TRUE	TRUE	TRUE
BCL11A	LUSC	TRUE	TRUE	TRUE
BCL11B	LUSC	TRUE	TRUE	TRUE
BRD4	LUSC	TRUE	TRUE	TRUE
CBX2	LUSC	FALSE	TRUE	FALSE
CEBPG	LUSC	TRUE	TRUE	TRUE
DBX2	LUSC	FALSE	TRUE	FALSE
DLX1	LUSC	TRUE	TRUE	TRUE
DLX5	LUSC	TRUE	TRUE	TRUE
DLX6	LUSC	TRUE	TRUE	TRUE
DMRT2	LUSC	TRUE	TRUE	TRUE
DNAJB1	LUSC	TRUE	TRUE	TRUE
DNMT3B	LUSC	TRUE	TRUE	TRUE
DPF1	LUSC	TRUE	TRUE	TRUE
E2F2	LUSC	TRUE	TRUE	TRUE
E2F7	LUSC	TRUE	TRUE	TRUE
ELF4	LUSC	TRUE	TRUE	TRUE
EN1	LUSC	TRUE	TRUE	TRUE
ERF	LUSC	TRUE	TRUE	TRUE
FOSL1	LUSC	TRUE	TRUE	TRUE
FOXD1	LUSC	TRUE	TRUE	TRUE
FOXE1	LUSC	TRUE	TRUE	TRUE
FOXL2	LUSC	TRUE	TRUE	TRUE
FOXM1	LUSC	TRUE	TRUE	TRUE
GLI2	LUSC	TRUE	TRUE	TRUE
GLI3	LUSC	FALSE	TRUE	FALSE
GRHL2	LUSC	FALSE	TRUE	FALSE
GRHL3	LUSC	TRUE	TRUE	TRUE
HDAC1	LUSC	TRUE	TRUE	TRUE
HDAC2	LUSC	TRUE	TRUE	TRUE
HES2	LUSC	TRUE	TRUE	TRUE
HMGA1	LUSC	TRUE	TRUE	TRUE
HOXC13	LUSC	TRUE	TRUE	TRUE
HOXD10	LUSC	TRUE	TRUE	TRUE
HOXD11	LUSC	TRUE	TRUE	TRUE
HOXD13	LUSC	TRUE	TRUE	TRUE
HR	LUSC	TRUE	TRUE	TRUE
IRF6	LUSC	TRUE	TRUE	TRUE
JUP	LUSC	TRUE	TRUE	TRUE
