motif_token	TF	is_luad_hc_tf	is_lineage_positive_control
CIS-BP2.00|000101|M01306_2.00	NFATC4	TRUE	FALSE
CIS-BP2.00|000117|M01812_2.00	CREB3L2	TRUE	FALSE
CIS-BP2.00|000154|M02395_2.00	NR3C2	TRUE	FALSE
CIS-BP2.00|000227|M03002_2.00	ELF3	TRUE	TRUE
CIS-BP2.00|000235|M03042_2.00	FOXD2	TRUE	FALSE
CIS-BP2.00|000375|M04231_2.00	XBP1	TRUE	FALSE
CIS-BP2.00|000420|M04529_2.00	ZNF444	TRUE	FALSE
CIS-BP2.00|000457|M04708_2.00	ETV1	TRUE	FALSE
CIS-BP2.00|000469|M04831_2.00	FOXA3	TRUE	FALSE
CIS-BP2.00|000653|M07586_2.00	ZNF141	TRUE	FALSE
CIS-BP2.00|000670|M07603_2.00	ZNF19	TRUE	FALSE
CIS-BP2.00|000701|M07634_2.00	ZNF540	TRUE	FALSE
CIS-BP2.00|000750|M07683_2.00	ZNF75D	TRUE	FALSE
CIS-BP2.00|000762|M07695_2.00	ZNF33A	TRUE	FALSE
CIS-BP2.00|000777|M07710_2.00	ZNF33B	TRUE	FALSE
CIS-BP2.00|000827|M07760_2.00	ZNF254	TRUE	FALSE
CIS-BP2.00|000866|M07830_2.00	CEBPB	FALSE	TRUE
CIS-BP2.00|000889|M07959_2.00	FOXA2	FALSE	TRUE
CIS-BP2.00|000890|M07960_2.00	FOXA1	FALSE	TRUE
CIS-BP2.00|000926|M08076_2.00	CEBPA	FALSE	TRUE
CIS-BP2.00|000940|M08109_2.00	E2F5	TRUE	FALSE
CIS-BP2.00|000947|M08124_2.00	GATA6	FALSE	TRUE
CIS-BP2.00|000974|M08219_2.00	HNF4A	FALSE	TRUE
CIS-BP2.00|000988|M08257_2.00	ZBTB18	TRUE	FALSE
CIS-BP2.00|001017|M08310_2.00	ZNF341	TRUE	FALSE
CIS-BP2.00|001020|M08321_2.00	ZNF281	TRUE	FALSE
JASPAR2024|000025|MA0608.1	CREB3L2	TRUE	FALSE
JASPAR2024|000169|MA1601.2	ZNF75D	TRUE	FALSE
JASPAR2024|000234|MA0102.5	CEBPA	FALSE	TRUE
JASPAR2024|000235|MA0466.4	CEBPB	FALSE	TRUE
JASPAR2024|000276|MA0640.3	ELF3	TRUE	TRUE
JASPAR2024|000311|MA0761.3	ETV1	TRUE	FALSE
JASPAR2024|000356|MA0148.5	FOXA1	FALSE	TRUE
JASPAR2024|000357|MA0047.4	FOXA2	FALSE	TRUE
JASPAR2024|000358|MA1683.2	FOXA3	TRUE	FALSE
JASPAR2024|000361|MA0847.4	FOXD2	TRUE	FALSE
JASPAR2024|000382|MA1104.3	GATA6	FALSE	TRUE
JASPAR2024|000409|MA1494.2	HNF4A	FALSE	TRUE
JASPAR2024|000410|MA0114.5	HNF4A	FALSE	TRUE
JASPAR2024|000506|MA1525.3	NFATC4	TRUE	FALSE
JASPAR2024|000539|MA0727.2	NR3C2	TRUE	FALSE
JASPAR2024|000652|MA1966.2	ETV1	TRUE	FALSE
JASPAR2024|000675|MA0844.2	XBP1	TRUE	FALSE
JASPAR2024|000681|MA0698.2	ZBTB18	TRUE	FALSE
JASPAR2024|000706|MA1630.3	ZNF281	TRUE	FALSE
JASPAR2024|000712|MA1655.2	ZNF341	TRUE	FALSE
JASPAR2024|000822|MA1994.2	NKX2-1	FALSE	TRUE
