panel	biological_role_tnbc	biological_role_luad	interpretation_boundary	visual_comparison
Figure1A	Defines the anchor workflow and cross-system evidence chain.	Manual boundary only; no official constructor exists for the workflow diagram.	Do not treat the placeholder as a negative biological result.	TNBC crop is shown beside a neutral MANUAL_REQUIRED box.
Figure1B	Identifies subtype-specific TF activity by multi-sample VIPER analysis.	Shows the LUAD-vs-LUSC differential TF activity output from the official constructor.	Compare direction, effect distribution and labeled regulators; do not compare raw sample counts directly.	Same constructor grammar; LUAD labels and values differ.
Figure1C	Tests whether the TF program separates primary breast tumors and aligns with clinical/molecular annotations.	Tests the corresponding separation in TCGA-LUAD/LUSC primary tumors with LUAD annotations.	Interpret clustering and annotation concordance, not color area alone.	Official ComplexHeatmap grammar is preserved.
Figure1D	Tests transfer of the TNBC TF program to breast PDX models.	Tests transfer of the LUAD TF program to the selected lung PDX set.	A weak split limits model-system transfer but does not invalidate the patient result by itself.	Official heatmap geometry and palette are preserved.
Figure1E	Tests transfer of the TNBC TF program to breast cancer cell lines.	Tests transfer of the LUAD TF program to lung cancer cell lines.	Cell-line concordance supports portability; discordance indicates model-state mismatch.	Official heatmap geometry and palette are preserved.
Figure2A	Summarizes ATAC-seq systems and chromatin-informed filtering logic.	Manual boundary only; no official constructor exists in the capsule.	No biological inference is made from the placeholder.	TNBC crop is shown beside a neutral MANUAL_REQUIRED box.
Figure2B	Counts TFs with promoter accessibility shared across tumors, PDXs and cell lines.	Shows the LUAD three-system promoter-accessibility intersection.	The shared intersection is the relevant entry criterion; absolute counts depend on the starting TF set.	Official ComplexUpset grammar is preserved.
Figure2C	Integrates HC status, mean activity and accessibility evidence.	Shows the official capsule output for LUAD after schema adaptation.	The capsule output and printed TNBC panel are not the same layout; compare evidence content, not block orientation.	Explicit CAPSULE_PRINT_MISMATCH label is retained.
Figure2D	Counts TF motifs enriched across the three TNBC systems.	Shows the LUAD three-system motif intersection under the official thresholding code.	A small shared intersection weakens the broad shared-motif claim but does not erase HC-TF analyses downstream.	Official ComplexUpset grammar is preserved.
Figure2E	Shows representative TF motif enrichment across systems.	Shows the LUAD representative cases selected upstream and rendered by the official constructor.	Case examples illustrate evidence distributions and cannot replace the global intersection test.	Official box/point construction is preserved.
Figure3A	Summarizes activated, repressed, shared and non-shared regulon composition for HC-TFs.	Summarizes the corresponding LUAD HC-TF regulon composition.	Differences reflect regulon architecture and the smaller LUAD HC-TF set.	Official stacked-bar and motif/net-effect tracks are preserved.
