repair_id	defect	evidence	affected_claim_or_figure	framework_asset_preserved	target_paper_repair	minimum_verification	residual_risk_or_claim_ceiling
HCC-DR01	Cross-sectional state ordering is described as initiation and dynamic evolution	Normal, primary, two PVTT and one MLN sample labels; authors acknowledge cross-sectional design	Title; F1-F3 progression and pseudotime claims	Multi-state comparison and ordered evidence chain	Use true precursor/longitudinal/lineage data or rename to cross-sectional state continuum; predefine allowed temporal language	Parsed design manifest plus claim audit; temporal claim allowed only with actual temporal/lineage evidence	Even precursor-to-tumor sampling is observational and does not prove lineage
HCC-DR02	Exact retained cohort is unreconstructable	183 described samples, 115 reported retained, no retained-ID/exclusion manifest	All integrated analyses	Large multi-cohort integration	Publish immutable include/exclude table with diagnosis, donor, tissue, cohort, reason and post-QC cells	Every analyzed cell maps to one retained sample and every raw sample has one disposition	Upstream source annotations may still be wrong
HCC-DR03	Disease state and source dataset are confounded; advanced groups are tiny	Supplement lists PVTT n=2 and MLN n=1	F1, F2, F4-F6 progression claims	Cross-cohort progression comparison	Require group-by-cohort table, bridge cohorts, minimum donors/group, leave-one-cohort-out and donor-level models	Direction and uncertainty remain stable after donor and cohort holdouts	Rare metastatic tissues may remain underpowered; claim becomes exploratory
HCC-DR04	Cells may be treated as independent observations	Composition/marker panels are cell-heavy while donor tests are not fully specified	F1, F4-F6	Cell-resolved atlas	Calculate per-donor proportions/pseudobulk; use compositional or mixed models and report donor n	Main contrast passes or is honestly null at donor level	Small donor counts limit adjustment
HCC-DR05	cNMF input and stability contract are incomplete	Harmony-corrected matrix with negative residuals thresholded; K chosen partly by interpretability	F2 meta-programs	Recurrent malignant program discovery	Use official cNMF input contract; freeze matrix provenance; per-donor/cohort consensus; seeds; K sensitivity; holdouts	Programs recur across seeds and independent donors/cohorts with prespecified similarity	Biological naming remains interpretive
HCC-DR06	Pseudotime is not observed temporal transition	Monocle/GeneSwitches on cross-sectional malignant cells with inconsistent root narrative	F2-F3 trajectory claims	Ordered cell-state relationships	Root sensitivity, alternative trajectory methods and external ordering; call continuum unless lineage evidence	Ordering stable across methods/root choices and agrees with independent stage evidence	Cannot infer ancestry from expression alone
HCC-DR07	Clinical validation and treatment-response definitions are under-specified	Multiple score/survival tests; GSE109211 is a randomized sorafenib/placebo study but exact responder construction is not published	F3 and F5 clinical claims	Independent clinical projection	Freeze endpoint, arm, covariates, cutoff and multiplicity; test treatment-by-score interaction; use multivariable Cox and PH diagnostics	Complete patient-level manifest and model diagnostics; external direction replication	Retrospective association does not establish predictive utility
HCC-DR08	Spatial niche selection and association risk circularity	One sample/region emphasized based on structure/co-enrichment; inferred interactions are correlational	F7	Spatial localization of programs and niches	Analyze all sections; predeclare/hold out ROI; use spatial permutation/null; separate discovery and validation sections	Niche statistic exceeds null and recurs in independent patients	Spot mixtures and platform resolution constrain cell-level claims
HCC-DR09	Geneformer virtual perturbation is not reproducible or causal	Only parameters and ranked outputs are public; code, split, seeds, tokenized inputs and trained artifacts absent	F8 target claim	State-directed perturbation prioritization	Use official implementation; pin model/token dictionary; donor-disjoint splits; alternative state definitions; permutation and simple baselines; rerun stability	Candidate rank stable across seeds/splits and better than expression/correlation baselines	Model predictions remain hypotheses without wet-lab perturbation
HCC-DR10	HSP90B1 evidence may reflect ubiquitous stress/essentiality rather than a therapeutic window	DepMap pan-cancer dependency, overexpression and prognosis are not tumor-selective perturbation	F8 therapeutic-target claim	Orthogonal candidate triage	Require tumor-versus-normal selectivity, lineage-matched dependency, perturb-seq/CRISPR or specific pharmacology; otherwise call candidate dependency	Independent perturbation changes intended state with acceptable normal-cell effect	Without experimental evidence no therapeutic efficacy claim
