issue_id	route_id	observed_layer	candidate_scope	issue_type	stage	severity	observation	evidence	consequence	proposed_action	disposition	status	blocking	affected_capability_ids	promotion_id	notes
PF-001	GN-R01	pilot_execution	core	usability	anchor_audit	high	Poppler could not open the original Unicode path and conventional PowerShell copy hit the Windows path limit.	Source-material intake failure log and successful short ASCII staging copy.	A valid source can fail before scientific review.	Require target-path smoke evidence and document auditable short-ASCII staging.	defer	open	false			Core guidance and path-portability fields exist, but there is no automated path preflight; this remains a non-blocking core candidate.
PF-002	GN-R01	pilot_execution	core	usability	verification	high	The workspace had no first-class issue and promotion log.	Pilot findings initially existed only as Markdown.	Reusable findings could be forgotten or mixed with paper defects.	Add a structured issue table with separate instance status and promotion evidence.	already_covered	resolved	false			Schema 2.0 records issues locally and promotions centrally; this fixes the recording gap without claiming cross-paper scientific transfer.
PF-003	GN-R01	both	core	statistical	verification	critical	GSE62254 participated in outcome-guided GEO-meta feature screening but is later displayed as validation.	Anchor methods and cohort sequence audited in anchor/audit.md.	Patient independence alone would not prevent optimistic validation labeling.	Track every cohort role and reject development-exposed external-validation claims.	already_covered	resolved	false			The core cohort-usage ledger blocks the invalid label; the paper-specific scientific limitation remains.
PF-004	GN-R01	both	module	contract	verification	high	Eight coefficients are published but transform mapping missing-feature and cutoff rules are absent.	Anchor methods plus failed attempt to compute without explicit reconstruction choices.	A formula can be mistaken for a computable model.	Require a locked computable model specification.	promote_to_module	resolved	false	CAP-BULK-FIXED-SIGNATURE	PROM-GN-FIXED-SIGNATURE-CONTRACT	GN-MS01 fixes this Pilot; the central promotion is provisional and does not prove transfer.
PF-005	GN-R01	anchor	core	data_access	verification	medium	TIDE SubMap IPS and GeneMANIA are mutable external services without captured versions and requests.	Anchor methods and availability audit.	Outputs may change or disappear despite stable local code.	Capture service request response date version and checksum or lower reproducibility.	defer	open	false			No generic service-response validator has been implemented; this non-blocking finding remains scoped and deferred.
PF-006	GN-R01	anchor	pilot	code	anchor_audit	critical	No anchor code repository or code-availability statement was found and key package versions seed cutoff and source tables are absent.	DOI GitHub and article searches returned no code result.	Exact reconstruction is unsupported.	Reconstruct only bounded modules with explicit contracts and tests.	instance_only	accepted_risk	false			Claim ceiling lowered to a public-data methods-repair reproduction.
PF-007	GN-R01	anchor	pilot	statistical	anchor_audit	critical	The anchor reuses GEO-meta component cohorts after outcome-guided screening.	Methods sequence and cohort list.	Reported validation performance is optimistic relative to untouched validation.	Do not label GSE62254 external; prioritize a truly untouched cohort for a future manuscript route.	instance_only	accepted_risk	false			Represented in GN-U01 and the route claim boundary.
PF-008	GN-R01	anchor	pilot	contract	anchor_audit	high	Each cohort is z-scored separately before applying the signature.	Anchor methods and formula audit.	The score is cohort-relative and cannot directly score one new patient.	Restrict claims to cohort stratification until a frozen reference transform is validated.	instance_only	accepted_risk	false			GN-MS01 states the deployment boundary.
PF-009	GN-R01	both	core	data_access	verification	critical	GSE62254 expression OS and probe annotation come from three distinct resources.	Parsed GEO metadata lacks OS; Nature ACRG sheet supplies OS; GPL570 supplies symbols.	One accession cannot prove all required fields are obtainable.	Require field-level resource provenance under every used data candidate.	promote_to_core	resolved	false	CAP-RESOURCE-INTEGRITY	PROM-GN-RESOURCE-PINNING	The Pilot is fixed; the central safety rule is provisional because only one paper case supports it.
PF-010	GN-R01	pilot_execution	core	data_identity	verification	critical	Expression and outcomes were joined across sources.	300 unique GEO IDs matched exactly with zero unmatched IDs.	An ordering or identifier error could attach outcomes to the wrong profiles.	Require explicit identifier fields uniqueness set coverage and unmatched counts.	promote_to_core	resolved	false	CAP-PATIENT-ID-LINKAGE	PROM-GN-IDENTITY-LINKAGE	The Pilot join is verified, but the proposed central safety rule remains observed because its dedicated malformed-identity rejection case has not been run.
