code_id	route_id	module_id	name	source_type	uri	version	license	language	environment	entrypoint	contract_match	noninteractive	private_inputs	hardcoded_paths	path_portability	path_test	verification	decision	checked_at	reusable_release_id	smoke_input	smoke_output	tests_passed	notes
SPP-CODE-R01-01	SPP-R01	SPP-MOD-R01-03	muscat donor-aware differential state framework	method_paper	https://bioconductor.org/packages/muscat/			R			unknown	unknown	unknown	unknown	not_checked	not_run	not_checked	candidate	2026-08-07					Candidate method donor for pseudobulk and differential-state testing; version license entrypoint and target-server smoke still unverified.
SPP-CODE-R01-02	SPP-R01	SPP-MOD-R01-03	speckle propeller compositional framework	method_paper	https://github.com/Oshlack/speckle			R			unknown	unknown	unknown	unknown	not_checked	not_run	not_checked	candidate	2026-08-07					Candidate for donor-level cell proportion analysis; no reuse qualification yet.
SPP-CODE-R01-03	SPP-R01	SPP-MOD-R01-04	decoupler pathway activity framework	method_paper	https://github.com/saezlab/decoupler-py			Python			unknown	unknown	unknown	unknown	not_checked	not_run	not_checked	candidate	2026-08-07					Candidate for multigene pathway scoring; gene-set version and scientific invariants must be locked locally.
SPP-CODE-R01-04	SPP-R01	SPP-MOD-R01-04	scMetabolism	method_paper	https://github.com/wu-yc/scMetabolism			R			unknown	unknown	unknown	unknown	not_checked	not_run	not_checked	candidate	2026-08-07					Data-domain-related donor from the 2022 CRLM study; imputation and per-cell scoring choices require independent review.
SPP-CODE-R01-05	SPP-R01	SPP-MOD-R01-06	HumanColonCancer Visium HD official analysis	data_paper	https://github.com/10XGenomics/HumanColonCancer_VisiumHD			R and Python			unknown	unknown	unknown	unknown	not_checked	not_run	not_checked	candidate	2026-08-07					Official code paired with GSE280315; repository existence and structure were seen but commit license dependencies and portable entrypoint are not yet audited.
SPP-CODE-R01-06	SPP-R01	SPP-MOD-R01-04	CRC SPP1-TAM metabolic crosstalk analysis	data_paper	https://github.com/xueyu2025/CRC-scRNAseq-analysis			R			unknown	unknown	unknown	unknown	not_checked	not_run	not_checked	candidate	2026-08-08					The 2026 Cancers article states that this repository contains its code. It is a potentially close domain donor, but commit, license, data dependencies, outcome leakage, portability and contract match have not been audited; no reuse qualification is claimed.
SPP-CODE-R02-01	SPP-R02	SPP-MOD-R02-02	cell2location spatial cell-type mapping	method_paper	https://github.com/BayraktarLab/cell2location			Python			unknown	unknown	unknown	unknown	not_checked	not_run	not_checked	candidate	2026-08-07					Potential source-attribution donor; computational burden and Visium HD compatibility require a spike.
SPP-CODE-R03-01	SPP-R03	SPP-MOD-R03-02	muscat donor-aware differential state framework	method_paper	https://bioconductor.org/packages/muscat/			R			unknown	unknown	unknown	unknown	not_checked	not_run	not_checked	candidate	2026-08-07					Potential interaction-model donor; no claim that default functions directly implement the planned site-by-treatment contrast.
SPP-CODE-R05-01	SPP-R05	SPP-MOD-R05-01	Anchor module reconstructed under local contracts	reconstructed	pilots/spp1-tam-jitc/analysis/		project code only	Python or R			unknown	true	false	false	not_checked	not_run	not_checked	candidate	2026-08-07					No implementation exists yet; this row records the intended source type and cannot be upgraded until tests and a real-data smoke run exist.
SPP-CODE-R08-01	SPP-R08	SPP-MOD-R08-01	Route-specific resource and identity guard to be reconstructed	reconstructed	pilots/spp1-tam-jitc/analysis/		project code only	Python or R			unknown	unknown	false	false	not_checked	not_run	not_checked	candidate	2026-08-08					No implementation exists. The gastric bulk release has relevant guard ideas but a different capability and input modality, so it is not linked as reusable code; this route needs its own adapter tests and real-input smoke run.
SPP-CODE-R08-02	SPP-R08	SPP-MOD-R08-02	muscat donor-aware differential-state framework	method_paper	https://bioconductor.org/packages/muscat/			R			unknown	unknown	unknown	unknown	not_checked	not_run	not_checked	candidate	2026-08-08					Candidate donor for pseudobulk and differential-state analysis; version license entrypoint and target-server smoke remain unverified.
SPP-CODE-R08-03	SPP-R08	SPP-MOD-R08-03	decoupler pathway activity framework	method_paper	https://github.com/saezlab/decoupler-py			Python			unknown	unknown	unknown	unknown	not_checked	not_run	not_checked	candidate	2026-08-08					Candidate donor for locked multigene scoring; no contract match or transfer claim is made.
SPP-CODE-R08-04	SPP-R08	SPP-MOD-R08-04	HumanColonCancer Visium HD official analysis	data_paper	https://github.com/10XGenomics/HumanColonCancer_VisiumHD			R and Python			unknown	unknown	unknown	unknown	not_checked	not_run	not_checked	candidate	2026-08-08					Official primary-CRC spatial code is a donor candidate only; CRLM adaptation patient-level inference license environment and portable entrypoint require qualification.
SPP-CODE-R11-01	SPP-R11	SPP-MOD-R11-01	decoupler pathway and program activity framework	method_paper	https://github.com/saezlab/decoupler-py			Python			unknown	unknown	unknown	unknown	not_checked	not_run	not_checked	candidate	2026-08-08					Candidate only for locked program scoring; it does not implement donor-level state-relation inference or define the biological programs and requires version license contract and real-input qualification.
SPP-CODE-R11-02	SPP-R11	SPP-MOD-R11-02	cell2location spatial cell-state mapping framework	method_paper	https://github.com/BayraktarLab/cell2location			Python			unknown	unknown	unknown	unknown	not_checked	not_run	not_checked	candidate	2026-08-08					Candidate for spatial mapping only; patient-level contrasts program collinearity negative controls and target-server feasibility require local adapters and tests.
SPP-CODE-R12-01	SPP-R12	SPP-MOD-R12-01	muscat donor-aware differential state framework	method_paper	https://bioconductor.org/packages/muscat/			R			unknown	unknown	unknown	unknown	not_checked	not_run	not_checked	candidate	2026-08-08					Potential donor for donor-level state contrasts; paired myeloid-NK association and three-case uncertainty are not a default workflow and must be specified and tested.
SPP-CODE-R13-01	SPP-R13	SPP-MOD-R13-01	scRepertoire immune-repertoire integration framework	method_paper	https://github.com/ncborcherding/scRepertoire			R			unknown	unknown	unknown	unknown	not_checked	not_run	not_checked	candidate	2026-08-08					Potential clonotype-processing donor only; version license GSE239676 input compatibility patient nesting and noninteractive outputs remain unverified.
