issue_id	route_id	source_scope	issue_type	stage	severity	observation	evidence	consequence	proposed_action	current_resolution	workflow_action	status	blocking	notes
HCC-I01		anchor	data_identity	anchor_audit	high	The exact 115 retained HCC samples cannot be reconstructed from the 183-row supplement.	The supplement describes all raw samples while the paper reports 115 after pathology and QC without a retained-ID/exclusion table.	Exact integrated analyses and sample-level claims cannot be independently reproduced.	Request the manifest or rebuild with an explicit immutable inclusion/exclusion table and treat it as an independent reconstruction.	Recorded in anchor audit and defect HCC-DR02.	none	open	true	Blocks exact reproduction, not use of the framework.
HCC-I02		anchor	data_access	anchor_audit	high	The stated older HCC spatial-data link was not reachable during audit.	Article data statement points to the Lifeome URL; connection attempt failed.	The complete original spatial layer cannot currently be reconstructed from the stated public source.	Locate an archived/controlled repository or use a clearly substituted public spatial cohort with revised claims.	Recorded as unavailable dependency in figure map.	none	open	true	Recheck before finalizing any reproduction statement.
HCC-I03		anchor	code	anchor_audit	high	Custom author analysis code is request-only.	Article says custom code and all other data are available from the corresponding author on reasonable request.	Exact preprocessing, cNMF, spatial and Geneformer results cannot be matched to the authors' implementation.	Request code while independently rebuilding from pinned official/qualified donors with module contracts and smoke tests.	Official donors inspected; none smoke-tested for this Pilot.	none	open	true	Blocks exact reproduction and route readiness, not candidate generation.
HCC-I04		both	contract	route_generation	critical	Paper2Paper records minimum subjects only for an entire candidate, not per decisive comparison group.	The anchor appears large overall but the supplied manifest has PVTT n=2 and MLN n=1; current data_requirements.tsv cannot encode separate group minima.	A structurally valid route can still be scientifically non-inferential.	Require per-comparison independent-unit counts, pairing and repetition before accepting the data for a stated paper task; do not use total subjects as a substitute.	The rule is now part of the core data-discovery guidance and was applied in this Pilot; the scientific limitation remains open for any selected target route.	implemented	open	true	This is a real false-feasibility risk; the product repair blocks unchecked use but is not an automated proof of sample adequacy.
HCC-I05		both	statistical	route_generation	high	Paper2Paper has no cohort-by-state confounding representation or guard.	Target candidates assemble progression states from different studies/platforms; the anchor itself mixes rare advanced states across datasets.	A disease-progression signal may be a dataset effect.	Require a patient × state × cohort × platform design table and bridge/holdout evidence before progression language.	The check is now part of the core data-discovery guidance; no target-cancer route has been selected or executed.	implemented	open	true	Blocks promotion, not data search; no automated guard is claimed.
HCC-I06		pilot_execution	usability	route_generation	high	The current Pilot now exercises a 31 GB multi-cohort single-cell foundation chain, but not the later spatial, clinical or GPU perturbation modules.	P0.0-P0.6 have real diagnostic evidence while the target-paper Figure chain beyond the foundation layer has not run.	Paper2Paper still cannot honestly claim end-to-end multi-modal cancer-switch capability.	Keep the capability boundary explicit and continue from the real foundation result to the smallest decisive Figure chain after P0-GATE review.	CRC Phase 0 real execution is active and documented; no manuscript route or full multi-modal run is claimed.	none	open	true	This is missing evidence for the current paper type, not a reason to build an abstract capability platform.
HCC-I07	HCC-CS-R02	pilot_execution	data_access	route_generation	high	CRC-atlas is public but its main objects and archives range from about 31 GB to 299 GiB.	CELLxGENE H5AD is 30,875,155,333 bytes; Zenodo publishes large modular archives; BioImage Xenium index totals 321,349,219,536 bytes.	A beginner can exhaust storage or download irrelevant raw morphology before producing a decision.	Require a run-capacity receipt and select only the smallest files needed for the approved decision experiment.	The 30,875,155,333-byte H5AD was downloaded once to the cloud server, SHA256-verified, and reused through a receipt chain; unrelated 299-GiB-class spatial archives were not downloaded.	implemented	resolved	false	This Pilot verifies capacity-aware role selection and checksum reuse on a real large object.
HCC-I08	HCC-CS-R02	both	contract	route_generation	high	The CRC-atlas Xenium assay cannot measure many candidate malignant or myeloid program genes.	The parsed 380-gene panel omits SPP1, APOC1, HSP90B1, KRT8/18/19 and has 0/20 to 11/20 coverage across published myeloid programs.	A visually convincing spatial map could be generated from an undermeasured signature and falsely treated as validation.	Require a measurement-space coverage receipt before assigning any restricted assay to a program-projection Figure.	The rule is now part of the core data-discovery guidance and the CRC panel audit already prevents a full-program validation claim.	implemented	open	true	The dataset can still serve suitable localization roles; it is not rejected wholesale.
HCC-I09	HCC-CS-R02	pilot_execution	code	route_generation	high	The CRC-atlas repository is extensive but its documented downstream workflow is incomplete and several paths are author-server-specific.	At commit 82c15ecc, workflows/downstream_analyses.nf and conf/downstream_analyses.config are absent; configuration and launch files contain /data/projects or /data/scratch paths.	Repository existence could be mistaken for a reliable end-to-end target-paper pipeline.	Pin the commit, parameterize paths, construct a downstream runner and run module-level smoke tests before selecting any code candidate for use.	Portable P0.0-P0.6 adapters have now run on the published H5AD; the absent author downstream workflow and later spatial/clinical/perturbation modules remain unresolved rather than being treated as supplied.	implemented	open	true	Foundation code was repaired and reused; this does not convert the entire author repository into an end-to-end target-paper pipeline.
HCC-I10	HCC-CS-R02	both	statistical	route_generation	high	CRC-atlas response metadata span multiple studies and biologically different treatment regimens.	Table S1 contains 106 response labels across chemotherapy, anti-PD-1 and targeted/combination cohorts; RECIST is present for 78 patients.	Pooling them would create an uninterpretable treatment endpoint and may confound response with dataset, regimen, site and MSI.	Require a cohort-specific treatment estimand before assigning a treatment-response role; do not merge incompatible regimens or definitions.	The rule is now part of the core data-discovery guidance; no treatment analysis or target route has been selected.	implemented	open	true	Blocks a generic treatment-response Figure, not use of the atlas for other roles.
