panel_id	anchor_panel_role	crc_replacement_data	replacement_level	data_reason	code_source	code_reuse_level	required_repair	verification_gate
S1A	各样本nCount_RNA质控	CRC-atlas处理后对象或原始分数据对象	完整模仿（待真实运行）	同一QC字段可获得或重算	CRC-atlas作者QC代码+Scanpy/Seurat官方实现	改造	按样本/队列展示并冻结过滤前后对象	每个纳入样本有计数分布、阈值和保留细胞数
S1B	各样本nFeature_RNA质控	同S1A	完整模仿（待真实运行）	同S1A	同S1A	改造	同S1A	同S1A
S1C	各样本线粒体比例质控	同S1A	完整模仿（待真实运行）	同S1A	同S1A	改造	不同研究测量特性可不同，不用单一阈值机械裁剪	逐队列阈值和敏感性记录完整
S1D	不同组织组QC分布	CRC正常/息肉/原发/肝转移样本	完整模仿（待真实运行）	可比较组织组技术指标	CRC-atlas作者代码+目标项目统计脚本	改造	QC差异不得解释为生物差异；组织与队列混杂分开报告	组别和队列分层图均输出
S1E	33个细胞cluster UMAP	CRC-atlas细粒度聚类	完整模仿（待真实运行）	处理后对象含细粒度标签/嵌入	CRC-atlas作者图谱代码	改造	CRC cluster数由数据决定，不固定为33	固定对象版本并输出每cluster患者覆盖
S1F	批次校正前后UMAP	CRC-atlas构建数据或供者平衡子集	完整模仿（待真实运行）	可在目标CRC数据上评估整合	CRC-atlas scANVI/集成代码或Harmony官方实现	改造	方法可换但必须说明；不能只凭视觉判断	预设定量指标与生物保留指标同时通过
S1G	kBET校正前后比较	CRC集成对象	完整模仿（待真实运行）	同一批次混合指标可计算	kBET官方实现	补建	同时报告过度校正风险和队列/状态保留	kBET及至少一个互补指标在固定子集通过
S1H	各样本cluster比例	CRC-atlas样本/cluster标签	完整模仿（待真实运行）	可承担样本覆盖诊断	目标项目汇总绘图	重建	此图是诊断，不把细胞堆叠柱当推断统计	全部样本显示，异常样本有审计记录
S1I	回归RNA counts前后主要群UMAP	CRC主要细胞群	完整模仿（待真实运行）	可检验技术协变量敏感性	Scanpy/Seurat官方实现	补建	不因相似UMAP就宣称所有技术影响消失	聚类、marker及组成敏感性均报告
S1J	主要细胞群差异marker点图	CRC主要细胞标签	完整模仿（待真实运行）	同一注释验证角色可完成	Scanpy/Seurat+伪bulk差异	补建	marker需跨患者并避免细胞级伪重复	患者覆盖和完整marker表输出
S2A	样本级CopyKAT CNA谱	CRC恶性上皮及正常参考细胞	完整模仿（待真实运行）	可从单细胞表达推断CNA	CopyKAT或SCEVAN官方实现	补建	固定正常参考和参数；CNA是推断而非测序真值	已知正常细胞负对照、患者覆盖和替代算法一致性
S2B	按CNA聚类患者	S2A患者级CNA谱	完整模仿（待真实运行）	可承担患者异质性诊断	目标项目聚类脚本	重建	聚类不作为未验证分型；检查队列效应	留一患者/队列稳定且队列标签不过度分离
S2C	按meta-program分层CNA	CRC CNA谱与冻结恶性程序	完整模仿（待真实运行）	同一关联角色可计算	目标项目连接/热图脚本	重建	患者为单位并控制程序与患者混杂	多患者支持且置换基线通过
S3A	cNMF K值稳定性与重构误差	CRC恶性细胞非负计数	完整模仿（待真实运行）	官方cNMF直接产生该诊断	官方cNMF	补建	K范围、迭代数、种子和选择规则预先规定	多种子曲线和选K收据完整
S3B	GEP欧氏距离矩阵	CRC cNMF GEP	完整模仿（待真实运行）	可直接从程序矩阵计算	官方cNMF输出+目标项目热图	补建	统一缩放并与余弦/相关距离做敏感性	距离定义冻结且程序不由技术基因主导
S3C	15个GEP在样本中比例	CRC GEP usage与样本标签	完整模仿（待真实运行）	同一跨样本覆盖诊断可完成	目标项目汇总绘图	重建	GEP数由CRC选K决定，不固定15	全部样本显示并标出患者/队列覆盖
S3D	每个GEP患者混合熵	CRC GEP usage与患者ID	完整模仿（待真实运行）	患者ID可支持	目标项目熵/置换脚本	重建	熵受患者细胞数影响，需下采样或置换校正	平衡下采样和空模型后仍显示跨患者性
S3E	GEP层次聚类成meta-program	CRC稳定GEP	完整模仿（待真实运行）	可承担程序合并角色	目标项目聚类+共识脚本	重建	聚类阈值/合并规则预设并做bootstrap	多种子/供者留出下合并结构稳定
S3F	meta-program在样本中比例	CRC meta-program usage	完整模仿（待真实运行）	可完成	目标项目汇总绘图	重建	患者为审计单位	跨患者/队列覆盖满足预设门槛
