output	output_page	panel	atom_id	source_role	source	source_page_1based	source_sha256	source_crop_top	destination_pt	embedding_method
Figure1.pdf	1	Figure1B	Figure1B	LUAD_OFFICIAL_ATOM	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/adapter_final_corrected/results/visuals/Figure1/Figure1B_log2FC_Viper_TNBC.pdf	1	61608426d7fbbde14efaa0197a5ff9e45608818aa1ea454e7caeb09d1582d09f	0,0,1,1	248.400,507.840,126.720,234.160	pypdf.merge_transformed_page_vector
Figure1.pdf	1	Figure1C	Figure1C	LUAD_OFFICIAL_ATOM	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/adapter_final_corrected/results/visuals/Figure1/Figure1C_TCGA_TRActivity_TNBC150_NonTNBC155_test.pdf	1	233f8644045bd3bc11daf4d62e1d36a5d557d819195a06f4952193fd5f820f39	0,0,1,1	375.120,507.840,218.880,234.160	pypdf.merge_transformed_page_vector
Figure1.pdf	1	Figure1D	Figure1D	LUAD_OFFICIAL_ATOM	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/adapter_final_corrected/results/visuals/Figure1/Figure1D_PDX_TRActivity_TNBC150_NonTNBC154.pdf	1	084b73a115e6f0ffa422e405c61d308694365824429f5aedb81c6de34f7452dd	0,0,1,1	18.000,30.000,288.000,465.840	pypdf.merge_transformed_page_vector
Figure1.pdf	1	Figure1E	Figure1E	LUAD_OFFICIAL_ATOM	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/adapter_final_corrected/results/visuals/Figure1/Figure1E_CellLine_TRActivity_TNBC150_NonTNBC155.pdf	1	fe6e83d12a1639766ee763ec037731331681ca2b6b9f04b6709e9d0a54da9ee0	0,0,1,1	306.000,30.000,288.000,465.840	pypdf.merge_transformed_page_vector
Figure2.pdf	1	Figure2B	Figure2B	LUAD_OFFICIAL_ATOM	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/adapter_final_corrected/results/visuals/Figure2/Figure2B_TF_PromoterAccessibility_Intersection_Sample_Groups.pdf	1	8bd122d9cde7994744ec79fb4ad1118d8c687f564ccf09e9cf87e03fd1d7ff47	0,0,1,1	18.000,392.000,144.000,169.000	pypdf.merge_transformed_page_vector
Figure2.pdf	1	Figure2D	Figure2D	LUAD_OFFICIAL_ATOM	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/adapter_final_corrected/results/visuals/Figure2/Figure2D_JASPAR_CISBP_TR_MotifEnrichment_Intersection_Sample_Groups.pdf	1	b8fd51f6afe20d9f864be0f76337156dd087befc5e8c2e4057dc12ab39cf0251	0,0,1,1	162.000,392.000,115.200,350.000	pypdf.merge_transformed_page_vector
Figure2.pdf	1	Figure2E	Figure2E	LUAD_OFFICIAL_ATOM	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/adapter_final_corrected/results/visuals/Figure2/Figure2E_Case_Examples_HC-TRs.pdf	1	5e5fb4934127edd4205ff61e2ea245fe261bf43ca2d39b52953d795a3851fbed	0,0,1,1	277.200,392.000,316.800,350.000	pypdf.merge_transformed_page_vector
Figure2.pdf	1	Figure2C	Figure2C	LUAD_OFFICIAL_ATOM	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/adapter_final_corrected/results/visuals/Figure2/Figure2C_JASPAR_CISBP_Combined_ChromatinAccessibility_MotifEnrichment_Heatmap.pdf	1	783d6b0c941b55137bb560b1b10f76a49ce445946504b9b77c82870cfdf6bed2	0,0,1,1	18.000,30.000,576.000,350.000	pypdf.merge_transformed_page_vector
Figure3.pdf	1	Figure3A	Figure3A	LUAD_OFFICIAL_ATOM	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-fig3-port/run-v3/results/visuals/Figure3/Figure3A_RegulonInteractions_TCGA_VIPER.pdf	1	0e8ce288d1abbc2571526e379923a3a757992ada196cffce4e1349c97f476330	0,0,1,1	18.000,493.360,241.920,248.640	pypdf.merge_transformed_page_vector
Figure3.pdf	1	Figure3B	Figure3B	LUAD_OFFICIAL_ATOM	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-fig3-port/run-v3/results/visuals/Figure3/Figure3B_Target_Network_Shared_TFs.pdf	1	a141ab160b2944ed755fcd256e473e4f366b0819498bf6f4a8f35f83bce3416f	0,0,1,1	259.920,493.360,334.080,248.640	pypdf.merge_transformed_page_vector
Figure3.pdf	1	Figure3C	Figure3C	LUAD_OFFICIAL_ATOM	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-fig3-port/run-v3/results/visuals/Figure3/Figure3C_TCGA_PearsonCorrelation_TR_Activity.pdf	1	a0e47f8b22f17102a21b63db2e793ff3bf3685f5813946684f23135894b635d9	0,0,1,1	18.000,344.560,241.920,136.800	pypdf.merge_transformed_page_vector
Figure3.pdf	1	Figure3C	Figure3C	LUAD_OFFICIAL_ATOM	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-fig3-port/run-v3/results/visuals/Figure3/Figure3C_Top_Bottom_TF_PearsonCorrelation.pdf	1	14e5c409c1eea20f21f41d92615626aeb2a91edec9b4e7a73982b5c184366e4c	0,0,1,1	18.000,203.760,241.920,136.800	pypdf.merge_transformed_page_vector
Figure3.pdf	1	Figure3D	Figure3D	LUAD_OFFICIAL_ATOM	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-fig3-port/run-v3/results/visuals/Figure3/Figure3D_TR_Network_Shared_ActivatingTargetGenes.pdf	1	59fe8fa832ca504e89e5cbf38e6df41c31ee2ff2ddb413637a63b3b7828cb5a3	0,0,1,1	259.920,261.680,334.080,219.680	pypdf.merge_transformed_page_vector
Figure3.pdf	1	Figure3E	Figure3E	LUAD_OFFICIAL_ATOM	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-fig3-port/run-v3/results/visuals/Figure3/Figure3E_Scatter_RegulonSize_vs_Partners.pdf	1	4176c0cd11d9ad27a001cfb905dbdea77042f285a3058460836c968ee9376655	0,0,1,1	259.920,160.320,334.080,89.360	pypdf.merge_transformed_page_vector
Figure3.pdf	1	Figure3F	Figure3F	LUAD_OFFICIAL_ATOM	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-fig3-port/run-v3/results/visuals/Figure3/Figure3F_Skewness_TCGA.pdf	1	f7a2e37c73f9a3a4b93e4ef2ce1abad9faf9eda942a786c7b4a53a978d58223e	0,0,1,1	18.000,30.000,241.920,161.760	pypdf.merge_transformed_page_vector
Figure3.pdf	1	Figure3G	Figure3G	LUAD_OFFICIAL_ATOM	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-fig3-port/run-v3/results/visuals/Figure3/Figure3G_CRY2_TR_Activity_Distribution.pdf	1	07bf28e72d40770e7a79dd0f0b34870f4f6382689ceb94a3f038baeb216d1c75	0,0,1,1	259.920,91.160,165.040,57.160	pypdf.merge_transformed_page_vector
Figure3.pdf	1	Figure3G	Figure3G	LUAD_OFFICIAL_ATOM	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-fig3-port/run-v3/results/visuals/Figure3/Figure3G_MAGED2_TR_Activity_Distribution.pdf	1	c0ffb1ed1ff46c6ee09149ee5d758605e1baa2d2f34cb27b1318ef1f3c0125c1	0,0,1,1	428.960,91.160,165.040,57.160	pypdf.merge_transformed_page_vector
Figure3.pdf	1	Figure3G	Figure3G	LUAD_OFFICIAL_ATOM	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-fig3-port/run-v3/results/visuals/Figure3/Figure3G_NR3C2_TR_Activity_Distribution.pdf	1	f5119ba641c9e8f3d8ad385d6eb343b7cfd4ec9b4c1fd3ac59c021d0247488ad	0,0,1,1	259.920,30.000,165.040,57.160	pypdf.merge_transformed_page_vector
Figure3.pdf	1	Figure3G	Figure3G	LUAD_OFFICIAL_ATOM	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-fig3-port/run-v3/results/visuals/Figure3/Figure3G_ZNF19_TR_Activity_Distribution.pdf	1	bca8d676b69f1ce3f5cefd65d59fbe13ebcf98bd341bc1e57b434428d4db16dd	0,0,1,1	428.960,30.000,165.040,57.160	pypdf.merge_transformed_page_vector
Figure4.pdf	1	Figure4A	Figure4A	LUAD_OFFICIAL_ATOM	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig45-v2-p0fix-20260821-r2/results/atomic/Figure4A.pdf	1	769912e2adaebd2b1017477335614259ad7a2ba63d20fbf7155675eacb662a02	0,0,1,1	18.000,493.360,144.000,248.640	pypdf.merge_transformed_page_vector
Figure4.pdf	1	Figure4B	Figure4B	LUAD_OFFICIAL_ATOM	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig45-v2-p0fix-20260821-r2/results/atomic/Figure4B.pdf	1	292c271fa22adaa7b5935e2b91e7680e2c5190f58f11fccda6969fff415652bf	0,0,1,1	162.000,493.360,144.000,248.640	pypdf.merge_transformed_page_vector
Figure4.pdf	1	Figure4C	Figure4C	LUAD_OFFICIAL_ATOM	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig45-v2-p0fix-20260821-r2/results/atomic/Figure4C.pdf	1	4f28a543459dc768db02449e0a23d6724850e488286ca418907aa65cdf916f64	0,0,1,1	306.000,493.360,144.000,248.640	pypdf.merge_transformed_page_vector
Figure4.pdf	1	Figure4D	Figure4D	LUAD_OFFICIAL_ATOM	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig45-v2-p0fix-20260821-r2/results/atomic/Figure4D.pdf	1	8eaf7a65271b994501b129b0fd7668fca795b9a73ed415cfb759f432379434d4	0,0,1,1	450.000,493.360,144.000,248.640	pypdf.merge_transformed_page_vector
Figure4.pdf	1	Figure4E	Figure4E	LUAD_OFFICIAL_ATOM	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig45-v2-p0fix-20260821-r2/results/atomic/Figure4E_protective.pdf	1	92ddd481c56d49cbdc3500b25a9cc04893f614efb967c873c1457a3299a759e0	0,0,1,1	18.000,363.040,142.000,118.320	pypdf.merge_transformed_page_vector
Figure4.pdf	1	Figure4E	Figure4E	LUAD_OFFICIAL_ATOM	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig45-v2-p0fix-20260821-r2/results/atomic/Figure4E_risk.pdf	1	1df8be5785a40ed1e397b233316ac1a517b4ddfb1852b93ac373c8458abc9053	0,0,1,1	164.000,363.040,142.000,118.320	pypdf.merge_transformed_page_vector
Figure4.pdf	1	Figure4G	Figure4G	LUAD_OFFICIAL_ATOM	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig45-v2-p0fix-20260821-r2/results/atomic/Figure4G_protective.pdf	1	f214752ffab3f11b3b887ffc92a74c8cb907fad4141525303021fb099637ae71	0,0,1,1	306.000,363.040,142.000,118.320	pypdf.merge_transformed_page_vector
