figure	panel	tnbc_biological_meaning	luad_current_meaning	interpretive_gap	current_visual_deficit	required_improvement	evidence_status
Figure1	A	Defines discovery, independent validation, PDX, and cell-line transfer	Defines the LUAD workflow	Independent patient branches and model roles are visually unbalanced	Workflow dominates the page and left branch is too wide	Use compact stacked workflow with equal branch weights and small result badges	Supported
Figure1	B	Shows TF activity adds information beyond expression	Same LUAD-versus-LUSC comparison	No major conceptual gap	Panel is too small in the assembled page	Increase panel area; add category counts and symmetric axes	Supported
Figure1	C	Shows patient-level TNBC heterogeneity with receptor and molecular annotations	Shows LUAD/LUSC patient TF activity and lung annotations	LUAD lacks breast receptor fields but has stage, smoking, sex, age, driver/state annotations	Activity scale previously produced a saturated red block and labels were compressed	Use row-centered, quantile-clipped symmetric scale; group gaps; readable annotation legends	Supported
Figure1	D	Demonstrates transfer to PDX	Demonstrates LUAD/LUSC transfer to PDMR models	PDX cohort is smaller and diagnosis labels less granular	Panel is stranded at the bottom and annotations are hard to read	Align with Figure1E; expose n, donor independence, diagnosis and state	Supported with smaller n
Figure1	E	Demonstrates transfer to cell lines	Demonstrates transfer to DepMap lung lines	Culture state may diverge from tumors	Panel is stranded and too small	Align with Figure1D and add site/state annotations	Supported
Figure2	A	Defines three independent ATAC systems	Defines LUAD patient, PDX and cell-line ATAC systems	LUAD systems are cross-study and less balanced	Simple icons do not show provenance or independence	Add accessions, model counts, raw/processed status and cross-study warning	Supported with caveat
Figure2	B	Finds broadly promoter-accessible TFs	Finds broadly promoter-accessible LUAD TFs	No conceptual gap	Current bars mimic but do not function as an UpSet plot	Use true UpSet with intersection matrix and set sizes	Supported
Figure2	C	Defines 94 HC-TFs by activity and promoter accessibility and annotates motif	Defines 31 LUAD HC-TFs and motif evidence	Only three strict motif TFs; several cells are missing because motif is unavailable	Current matrix is extremely wide and nearly unreadable	Use aligned compact blocks, group headers, motif availability and a separate sensitivity strip	Supported HC-TF; selective motif
Figure2	D	Shows broad motif conservation across systems	Shows selective LUAD motif conservation	Magnitude is much weaker than TNBC	Current plot is small and does not foreground denominators	Use true UpSet, fixed denominators, strict versus sensitivity counts	Weak/selective
Figure2	E	Displays motif effect sizes and per-sample heterogeneity	Displays five strict/sensitivity LUAD TFs	Only three meet the strict rule	Current examples are cramped and ranking is unclear	Show prevalence, mean LOR, uncertainty, and prespecified selection rule	Weak/selective
Figure3	A	Defines signed architecture of all HC-TF regulons	Defines signed architecture of 31 LUAD HC-TFs	Fewer TFs and edges, but same question	Current bars lack clear motif and net-effect side annotations	Add motif class, shared/unique split and net-effect strip	Supported
Figure3	B	Shows target-gene communities jointly controlled by HC-TFs	Shows the anchor-equivalent LUAD target graph: 30 targets meet the >=3-regulator node rule, but only three target pairs share >=3 TFs	The topology is much sparser than TNBC and does not support a broad convergent target community	The first pass substituted GO dots for topology; the corrected graph is visually sparse because the evidence is sparse	Display all 30 nodes and the three qualifying edges; do not add weaker edges for appearance; do not run GO enrichment on one- or two-gene components	Rebuilt; biologically weak/sparse
Figure3	C	Shows coordinated versus discordant HC-TF activity	Same in TCGA-LUAD	Smaller TF set reduces network complexity	Heatmap is usable but ranked-pair inset is weak	Improve ordering, diverging scale, and top/bottom pair inset	Supported
Figure3	D	Shows the HC-TF collaboration network	Same for LUAD	LUAD network is sparse	Sparse layout wastes space and labels collide	Use threshold-aware layout, isolates inset, edge legend and community colors	Supported but sparse
Figure3	E	Identifies regulon hubs	Same for LUAD	Few outliers and weaker range	Labels overlap and no reference medians	Use repel labels, median quadrants and robust-outlier definition	Supported
Figure3	F	Quantifies patient-to-patient activity skewness	Same for LUAD	Only a few TFs are strongly skewed	Labeling competes with point-size legend	Use motif shape, FDR size, selective labels and confidence note	Supported
Figure3	G	Shows representative heterogeneous TF distributions	Same for LUAD versus LUSC	Representative TF choice must be prespecified	Current densities are acceptable but annotation is sparse	Report effect size, n, Wilcoxon BH and skewness FDR per facet	Supported
