variant	layer	system	TF	selected_samples	half_sample_threshold	motif_enriched_samples	support_at_least_half
B0	TRU_like	patient	CREB3L2	6	3	6	TRUE
B0	TRU_like	PDX	CREB3L2	5	3	1	FALSE
B0	TRU_like	cell_line	CREB3L2	10	5	0	FALSE
B0	TRU_like	patient	E2F5	6	3	0	FALSE
B0	TRU_like	PDX	E2F5	5	3	2	FALSE
B0	TRU_like	cell_line	E2F5	10	5	3	FALSE
B0	TRU_like	patient	ELF3	6	3	6	TRUE
B0	TRU_like	PDX	ELF3	5	3	0	FALSE
B0	TRU_like	cell_line	ELF3	10	5	2	FALSE
B0	TRU_like	patient	ETV1	6	3	6	TRUE
B0	TRU_like	PDX	ETV1	5	3	1	FALSE
B0	TRU_like	cell_line	ETV1	10	5	4	FALSE
B0	TRU_like	patient	FOXA3	6	3	6	TRUE
B0	TRU_like	PDX	FOXA3	5	3	2	FALSE
B0	TRU_like	cell_line	FOXA3	10	5	10	TRUE
B0	TRU_like	patient	FOXD2	6	3	6	TRUE
B0	TRU_like	PDX	FOXD2	5	3	0	FALSE
B0	TRU_like	cell_line	FOXD2	10	5	0	FALSE
B0	TRU_like	patient	NFATC4	6	3	6	TRUE
B0	TRU_like	PDX	NFATC4	5	3	2	FALSE
B0	TRU_like	cell_line	NFATC4	10	5	10	TRUE
B0	TRU_like	patient	NR3C2	6	3	6	TRUE
B0	TRU_like	PDX	NR3C2	5	3	0	FALSE
B0	TRU_like	cell_line	NR3C2	10	5	0	FALSE
B0	TRU_like	patient	XBP1	6	3	6	TRUE
B0	TRU_like	PDX	XBP1	5	3	2	FALSE
B0	TRU_like	cell_line	XBP1	10	5	10	TRUE
B0	TRU_like	patient	ZBTB18	6	3	0	FALSE
B0	TRU_like	PDX	ZBTB18	5	3	0	FALSE
B0	TRU_like	cell_line	ZBTB18	10	5	0	FALSE
B0	TRU_like	patient	ZNF141	6	3	0	FALSE
B0	TRU_like	PDX	ZNF141	5	3	1	FALSE
B0	TRU_like	cell_line	ZNF141	10	5	1	FALSE
B0	TRU_like	patient	ZNF19	6	3	0	FALSE
B0	TRU_like	PDX	ZNF19	5	3	0	FALSE
B0	TRU_like	cell_line	ZNF19	10	5	0	FALSE
B0	TRU_like	patient	ZNF254	6	3	0	FALSE
B0	TRU_like	PDX	ZNF254	5	3	0	FALSE
B0	TRU_like	cell_line	ZNF254	10	5	0	FALSE
B0	TRU_like	patient	ZNF281	6	3	0	FALSE
B0	TRU_like	PDX	ZNF281	5	3	2	FALSE
B0	TRU_like	cell_line	ZNF281	10	5	2	FALSE
B0	TRU_like	patient	ZNF33A	6	3	6	TRUE
B0	TRU_like	PDX	ZNF33A	5	3	0	FALSE
B0	TRU_like	cell_line	ZNF33A	10	5	3	FALSE
B0	TRU_like	patient	ZNF33B	6	3	0	FALSE
B0	TRU_like	PDX	ZNF33B	5	3	0	FALSE
B0	TRU_like	cell_line	ZNF33B	10	5	0	FALSE
B0	TRU_like	patient	ZNF341	6	3	6	TRUE
B0	TRU_like	PDX	ZNF341	5	3	0	FALSE
