TF	patient_fixed_support	PDX_fixed_support	cell_line_fixed_support	triple_system_fixed_original_denominator	patient_matchable_support	PDX_matchable_support	cell_line_matchable_support	triple_system_matchable_denominator
CREB3L2	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
E2F5	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
ELF3	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
ETV1	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
FOXA3	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
FOXD2	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
NFATC4	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
NR3C2	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
XBP1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
ZBTB18	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ZNF141	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
ZNF19	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ZNF254	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ZNF281	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
ZNF33A	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
ZNF33B	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ZNF341	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
ZNF444	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
ZNF540	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
ZNF75D	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
