issue_id	route_id	observed_layer	candidate_scope	issue_type	stage	severity	observation	evidence	consequence	proposed_action	disposition	status	blocking	affected_capability_ids	promotion_id	notes
SPP-PF-001		anchor	pilot	data_identity	anchor_audit	critical	420个样本和998204个细胞没有accession到患者样本library治疗平台的逐项映射	正文只给六类组织总数且补充材料无manifest	无法确认患者独立性来源重叠和组织治疗混杂	目标论文先建立一行一个生物样本的manifest并要求每个barcode唯一映射到sample和donor	instance_only	open	true	CAP-PATIENT-ID-LINKAGE		保留跨组织图谱但阻断百万细胞直接整合
SPP-PF-002		anchor	pilot	code	anchor_audit	critical	没有代码可用性声明作者仓库环境锁随机种子或源表	全文补充材料及公开GitHub检索未发现作者代码	不能精确恢复聚类签名cutoff和Figure	按manifest QC 供体统计程序评分空间映射临床模型Figure拆分合同并组合官方和方法代码供体	instance_only	accepted_risk	false			可重建分析模块但不能冒充作者pipeline
SPP-PF-003		anchor	pilot	data_identity	anchor_audit	critical	Methods中的GSE17356实际是前列腺癌且GSE41568重复	NCBI GEO accession身份核对	bulk验证和Fig6数据身份不可信	所有accession纳入前核对疾病组织患者数文件和来源论文并保存快照；不猜测GSE17536是更正	instance_only	open	false	CAP-RESOURCE-INTEGRITY		错误accession已从候选数据排除；未来若使用bulk模块仍必须fail closed
SPP-PF-004		anchor	pilot	statistical	anchor_audit	critical	多个队列的组织平台和治疗状态与study高度相关	GSE205506含PD1或celecoxib；GSE225857全为术前治疗；GSE178341为初治原发CRC	组织差异可能是study平台或治疗差异	先做队列内和患者内效应再汇总；治疗分层和leave-one-study-out；Harmony不替代推断	instance_only	open	true			某组织若只存在于单一study则降低claim或停止解释
SPP-PF-005		anchor	pilot	statistical	anchor_audit	critical	中心患者主张多处使用cell-level Wilcoxon和pooled细胞比例	Methods及Figure统计描述	细胞数放大显著性且不能表示独立患者n	表达使用donor×state pseudobulk；丰度使用供体级composition或mixed model；报告效应量和CI	instance_only	open	true			小患者数导致不显著是正确不确定性
SPP-PF-006		anchor	pilot	contract	anchor_audit	critical	核心MT-CO1亚型与线粒体QC和组织处理相互循环	细胞pct_mito大于5%被过滤而亚型由MT-CO1定义	Fig3至4的亚型成熟度和代谢解释可能是技术伪影	去除全部线粒体基因后重聚类并调整pct.mt nUMI donor tissue和study；使用核编码多基因程序	instance_only	open	true			优先目标论文修复点
SPP-PF-007		anchor	pilot	scientific_result	anchor_audit	high	ATP5F1E被称为糖酵解亚型但其为线粒体ATP合酶亚基	Results与Discussion的代谢解释互相不一致	代谢命名缺少构念效度	没有通路级和功能证据时使用中性program名称；用锁定多基因集和独立队列验证	instance_only	open	false			转录程序不等于代谢通量
SPP-PF-008		anchor	pilot	scientific_result	anchor_audit	high	缺氧核心和富氧边缘没有直接氧或缺氧测量	空间输入只有3个原发CRC VisiumHD样本	Fig4空间代谢机制超出证据	加入预定义缺氧程序病理ROI和CRLM空间；无氧测量则只称区域关联	instance_only	open	false			空间位置不能证明氧驱动
SPP-PF-009		anchor	pilot	contract	anchor_audit	high	VisiumHD bin通过marker score被近似当作具体SPP1巨噬细胞	8微米bin仍可混合且SPP1可来自肿瘤或CAF	空间定位和100微米邻近可能发生来源错误	使用参考映射或去卷积形态ROI患者级重复和空间置换阴性对照	instance_only	open	true			必须保存坐标ROI和source table
SPP-PF-010		anchor	pilot	scientific_result	anchor_audit	high	横断面多队列拟时序和velocity被解释为FCN1起源和成熟方向	Fig2至3及Methods	转录相似性被升级为谱系因果	改称状态转变假设并按患者组织队列检查；lineage主张需要追踪时间序列或分化实验	instance_only	open	false			轨迹可保留为假设生成模块
