search_id	route_id	domain	source	query	searched_at	result_count	outcome	notes
HCC-S01	HCC-CS-R01	data	NCBI GEO	gastric cancer single cell precursor primary metastasis spatial treatment response GSE234129	2026-08-08	4	continue	GSE234129 metadata was downloaded and parsed; it supplies TME labels only and one liver plus one ovarian metastasis. Other malignant, precursor, spatial and clinical roles remain to be file-verified.
HCC-S02	HCC-CS-R01	code	GitHub; official method repositories	gastric cancer analysis code cNMF cell2location COMMOT MISTy Geneformer	2026-08-08	6	continue	Official method donors exist; no target-cancer end-to-end donor has been qualified or smoke-tested.
HCC-S03	HCC-CS-R01	literature	PubMed; Nature; primary journal pages	gastric adenocarcinoma single-cell precursor localized metastatic ecotype spatial evolution Geneformer	2026-08-08	5	continue	Multiple near papers create high combined-overlap risk; exact central-question boundary remains open.
HCC-S04	HCC-CS-R02	data	NCBI GEO	CRC normal polyp primary liver metastasis single cell spatial treatment GSE201348 GSE225857	2026-08-08	4	continue	Official records show large public processed archives and relevant states; representative matrix and donor manifests have not yet been parsed.
HCC-S05	HCC-CS-R02	code	GitHub; official method repositories	colorectal cancer progression spatial Geneformer code cNMF COMMOT	2026-08-08	5	continue	Official module donors exist, but composition in the target environment is untested.
HCC-S06	HCC-CS-R02	literature	PubMed; primary journal pages	colorectal cancer progression single cell spatial meta program virtual perturbation	2026-08-08	8	continue	Existing 2022-2026 progression, spatial-metastasis and transformer studies make publication overlap the leading risk.
HCC-S07	HCC-CS-R03	data	NCBI GEO; article supplements	intrahepatic cholangiocarcinoma normal primary metastasis single cell spatial treatment response	2026-08-08	3	continue	Anchor supplement exposes excluded ICC-related samples but no complete role chain; dedicated accession-level audit is incomplete.
HCC-S08	HCC-CS-R03	code	Official method repositories	ICC single cell spatial cNMF Geneformer code	2026-08-08	3	continue	Generic module donors exist; no ICC-specific end-to-end implementation has been inspected.
HCC-S09	HCC-CS-R03	literature	PubMed; primary journal pages	ICC single cell spatial therapeutic target multi-omics progression	2026-08-08	4	continue	Adjacent ICC spatial and treatment studies exist; exact full-framework duplicate search is incomplete.
HCC-S10	HCC-CS-R02	data	Cancer Cell supplement; CELLxGENE; Zenodo; BioImage Archive	CRC-atlas processed H5AD patient sample metadata treatment Xenium IMC file availability	2026-08-08	4	continue	Table S1 was parsed; CELLxGENE H5AD metadata and direct file size were checked; Zenodo release contents and BioImage file index were checked; two small spatial metadata files were downloaded and checksummed.
HCC-S11	HCC-CS-R02	code	GitHub	icbi-lab crc-atlas Nextflow cNMF Xenium IMC TCGA survival reproducibility	2026-08-08	1	continue	Repository was cloned and fixed at commit 82c15ecc; 158 tracked files and licenses/environments/entrypoints were inspected. Missing downstream workflow/config and hardcoded paths prevent runnable qualification.
HCC-S12	HCC-CS-R02	literature	Cancer Cell; PubMed; primary journal pages	CRC atlas neutrophil spatial single-cell treatment progression metastasis Geneformer	2026-08-08	9	continue	CRC-atlas materially strengthens data and code availability but also adds a high-overlap nearest paper. The target must use it as infrastructure and not repeat its central neutrophil atlas claims.
