finding_id	title	scope	capability_area	status	source_refs	generalized_failure	risk_to_paper	core_response	verification_refs	updated_at	notes
P2P-L001	跨 Pilot 问题汇集与复验链	general	learning_loop	verified	P2P-GASTRIC-NRRS#PF-002;P2P-HCC-SC-SPATIAL-NPJ-2026#HCC-I11	各 Pilot 能记录本地问题，但不同对话此前不能汇集、分类并追踪产品修复与复验。	重复踩坑、局部修复被遗忘，或课题特有困难被误写成通用产品缺口。	保留各 Pilot 原始 issues.tsv；增加轻量 findings.tsv、聚合命令和派生报告，明确 scope/status/source/verification。	tests/test_learning.py::test_aggregation_across_pilots_and_untriaged_candidates;tests/test_learning.py::test_learning_report_separates_raw_candidates_from_product_findings	2026-08-09	Git 是跨对话记忆；该账不承担能力成熟度或路线评分。
P2P-L002	开发暴露队列不能冒充外部验证	general	study_design	verified	P2P-GASTRIC-NRRS#PF-003	workflow 若只检查患者独立性而不记录队列在筛选、拟合、调参和 cutoff 中的角色，会错误标注外部验证。	性能和可迁移性被高估，目标论文形成错误主张。	用 cohort_usage.tsv 记录队列用途，并拒绝开发暴露队列的 external_validation 声称。	tests/test_workflow.py::test_development_exposed_cohort_cannot_be_external_validation	2026-08-09	来源于胃癌 NRRS Pilot；不能据此证明所有验证设计已覆盖。
P2P-L003	固定模型必须具有可计算规范	paper_type	model_contract	verified	P2P-GASTRIC-NRRS#PF-004;P2P-GASTRIC-NRRS#PF-013	论文给出基因和系数并不等于模型可计算；变换、映射、重复和缺失策略及 cutoff 可能仍缺失。	不同实现产生不同分数，却都被误称为复现。	固定模型路线要求锁定可计算 model specification，再允许进入真实运行。	tests/test_workflow.py::test_required_signature_needs_locked_computable_specification;pilots/gastric-nrrs/code/test_gse62254_nrrs_spike.py::test_probe_aggregation_is_outcome_blind_and_deterministic	2026-08-09	适用于 signature/固定模型类论文，不是所有论文的必填模块。
P2P-L004	数据字段必须追溯到具体资源	general	data_provenance	verified	P2P-GASTRIC-NRRS#PF-009	一个 accession 可能不能提供表达、结局、注释等全部必需字段，若只登记数据集名称会制造假可得性。	下载后才发现关键字段缺失，或无法审计跨来源拼接。	每个使用的数据候选记录字段级 resource provenance，并在进入真实运行前核对合同。	tests/test_workflow.py::test_data_contract_and_field_provenance_are_enforced	2026-08-09	资源存在不等于字段已解析。
P2P-L005	跨来源连接必须验证标识一致性	general	data_identity	verified	P2P-GASTRIC-NRRS#PF-010	跨文件连接若不核对标识唯一性、集合覆盖和未匹配数，可能把结局附到错误样本。	生成看似完整但患者身份错误的结果与 Figure。	要求显式 identifier field，并在具体实现中检查唯一性、双向覆盖和未匹配记录。	pilots/gastric-nrrs/code/test_gse62254_nrrs_spike.py::test_geo_metadata_requires_complete_unique_identifiers	2026-08-09	结构合同不能替代每个数据集的真实 ID 检查。
P2P-L006	执行就绪不能冒充论文路线批准	general	decision_boundary	verified	P2P-GASTRIC-NRRS#PF-015	代码能运行和数据能解析不等于路线值得形成目标论文，也不等于用户已经批准中心主张。	训练复现或实质重复路线被误晋升为正式稿件。	分离 execution readiness、路线证据审查、用户批准和独立 manuscript project。	tests/test_workflow.py::test_report_separates_execution_from_manuscript_approval;tests/test_workflow.py::test_next_action_never_starts_manuscript_inside_pilot	2026-08-09	不以创新等级作为准入门槛；只检查具体重复与证据。
P2P-L007	数据必须按目标论文的具体用途分别检查	paper_type	data_use_fit	verified	P2P-HCC-SC-SPATIAL-NPJ-2026#HCC-I04;P2P-HCC-SC-SPATIAL-NPJ-2026#HCC-I05;P2P-HCC-SC-SPATIAL-NPJ-2026#HCC-I07;P2P-HCC-SC-SPATIAL-NPJ-2026#HCC-I08;P2P-HCC-SC-SPATIAL-NPJ-2026#HCC-I10	公开、规模大或字段存在不能证明数据能完成拟定 Figure/claim；必须先写明论文具体用途，再核对决定性组、设计混杂、测量空间、运行资源和治疗定义。	workflow 可能把总量充足但关键组不足、来源混杂、特征未测量、资源不可承受或治疗不兼容的数据笼统写成可用。	新增 data_use_checks.tsv 和校验规则；允许同一数据用于合适任务、限制不充分任务，缺少用途检查的数据不能进入执行就绪。	src/paper2paper/schema.py;src/paper2paper/workspace.py;tests/test_workflow.py;docs/data-discovery.md;pilots/hcc-sc-spatial-npj-2026/analysis/specification.md	2026-08-09	本 Pilot 已实际识别小组人数、文件体量、panel 覆盖和治疗异质性；verified 只表示工作流会拦截未检查的数据，不表示 CRC 路线已运行、获批或科学上充分。
P2P-L013	来源材料路径需要目标环境预检	general	path_portability	observed	P2P-GASTRIC-NRRS#PF-001	有效文献材料可能因 Unicode、路径长度或工具路径支持而在科学审计前失败。	初学者会把路径错误误判为 PDF/补充材料损坏，或无法留下可审计输入。	保留短 ASCII staging 的局部补法；只有在其他环境重复出现时才增加最小自动 path preflight。		2026-08-09	目前有实际实例但没有足够证据要求所有 Pilot 执行同一搬运流程。
P2P-L014	安装成功不能代表目标运行环境可用	general	execution_environment	verified	P2P-GASTRIC-NRRS#PF-011;P2P-HCC-SC-SPATIAL-NPJ-2026#HCC-I25	依赖在一个用户或解释器环境安装成功，不能证明目标 OS 用户、路径和锁定版本能读取并运行。	把 install success 写成代码就绪，随后在服务器或正式运行中失败。	分离 install、target-context smoke 和真实运行；执行包装器必须显式绑定正式代码路径和依赖环境，并由目标环境测试覆盖。	pilots/hcc-sc-spatial-npj-2026/code/phase_zero/test_paired_cna_helpers.py::test_full_supervisor_exposes_formal_code_to_configurable_runner	2026-08-11	胃癌环境错位和 CRC 服务器包装器漏传 PYTHONPATH 分别提供了两个真实实例；不允许静默替换缺失版本。
P2P-L015	具体绘图 API 错误留在来源实现	paper_specific	code_repair	local_only	P2P-GASTRIC-NRRS#PF-012	胃癌 Pilot 的首个绘图调用使用了当前 lifelines 不接受的参数。	该实现不能生成最终 KM artifact。	在来源代码修复参数并增加非交互图产物测试；不把一个库参数错误扩建为 Paper2Paper 通用功能。	pilots/gastric-nrrs/code/test_gse62254_nrrs_spike.py::test_kaplan_meier_plot_is_noninteractive_and_written	2026-08-09	保留失败事实；局部修复已经完成。
P2P-L016	外部输入需要版本和字节完整性	general	data_provenance	verified	P2P-GASTRIC-NRRS#PF-014	稳定 accession 或 URL 的内容仍可能更新，若不固定字节和 checksum，同一命令可读取不同输入。	结果变化无法区分是代码变化还是上游资源变化。	记录来源版本、字节数与 SHA256，并在解析前 fail closed。	pilots/gastric-nrrs/code/test_gse62254_nrrs_spike.py::test_resource_verification_fails_closed_on_change	2026-08-09	输入内容校验不证明数据科学含义正确。
P2P-L017	可变外部服务需要请求与响应收据	paper_type	data_provenance	observed	P2P-GASTRIC-NRRS#PF-005	依赖在线服务的分析若不保存请求、响应、日期和版本，后续无法区分服务变化与分析变化。	目标 Figure 可能无法复查或在相同代码下漂移。	当目标路线真实依赖可变服务时，保存允许留存的请求/响应摘要、版本、时间和 checksum；暂不强制所有 Pilot 增加字段。		2026-08-09	来源锚点的 TIDE/SubMap/IPS/GeneMANIA 仅是实例；当前路线未依赖这些服务。
P2P-L018	多面板文献必须逐子图判断可替换性	general	anchor_mapping	verified	P2P-HCC-SC-SPATIAL-NPJ-2026#HCC-I12	用一个“可替代/部分可替代”标签概括整幅多面板 Figure，会掩盖不同子图的数据、代码和 claim 条件。	缺失的决定性子图可能被可行的描述性子图遮蔽，导致错误宣称整篇换癌种路线可执行。	在锚点审计中逐子图记录证据角色、目标数据、替换等级、代码来源、修复和验证门槛；整图表只保留为索引。	docs/workflow.md;pilots/hcc-sc-spatial-npj-2026/anchor/main-figure-panel-map.tsv;pilots/hcc-sc-spatial-npj-2026/anchor/supplementary-figure-panel-map.tsv;pilots/hcc-sc-spatial-npj-2026/reports/crc-subfigure-replacement-audit.md	2026-08-09	本次在 NPJ HCC 主文 92 个和补图 63 个子图上完成手工核对；verified 表示规则已在本 Pilot 落地，不表示 155 个 CRC 分析已运行，也不表示未来 PDF 会被自动正确拆图。
P2P-L019	基础分析需要多来源三角补建而不是整仓照搬	general	method_reconstruction	verified	P2P-HCC-SC-SPATIAL-NPJ-2026#HCC-I09;P2P-HCC-SC-SPATIAL-NPJ-2026#HCC-I13;P2P-HCC-SC-SPATIAL-NPJ-2026#HCC-I17;P2P-HCC-SC-SPATIAL-NPJ-2026#HCC-I18	锚点论文、数据生成论文、作者代码和官方方法分别只提供部分事实；若选择一个来源全盘照搬，会把未报告选择、代码缺陷或不适配输入传播到全部后续 Figure。	初学者可能把论文声望、GitHub 仓库存在或安装成功误当作可靠实现，生成批次产物、错误恶性标签或患者特异程序。	为每个基础步骤记录论文作用、作者/数据代码、官方/同类实现、目标适配和验收；只允许直接复用、修复复用、参考重写或有依据地不采用，并以真实数据稳定性完成科学验收。	docs/foundation-analysis-reconstruction.md;pilots/hcc-sc-spatial-npj-2026/reports/phase-zero-foundation-audit.md;pilots/hcc-sc-spatial-npj-2026/analysis/phase-zero-execution-specification.md;pilots/hcc-sc-spatial-npj-2026/reports/phase-zero-real-run-report.md;pilots/hcc-sc-spatial-npj-2026/code/phase_zero/test_phase_zero_bootstrap.py	2026-08-12	31 GB CRC 对象和真实 CopyKAT、SCEVAN、cNMF 运行已经复验该方法，并实际暴露缺失下游入口、API、矩阵类型、硬编码路径和 spectra 方向问题；这些缺陷均由最小 adapter 修复并回到同一 Pilot 复验。verified 只指 workflow 方法得到真实案例支持，不代表 CRC 科学 P0-GATE 已通过。
P2P-L020	程序匹配不能用无约束传递并集制造跨 K 家族	paper_type	method_reconstruction	verified	P2P-HCC-SC-SPATIAL-NPJ-2026#HCC-I22	在 K 尚未冻结时，把跨 seed、相邻 K 和不同输入的一对一匹配边直接做传递并集，会经由中间节点把同一运行、同一 K 的多个不同程序错误合并。	错误聚合可把大量不同程序压成少数看似稳健的家族，并把无效的 meta-program 数量写入目标论文。	K 冻结前只报告每个 K 内的直接一对一留出匹配；跨 K 家族构建延后，并要求明确的冲突约束和独立验收。	docs/foundation-analysis-reconstruction.md;pilots/hcc-sc-spatial-npj-2026/code/phase_zero/evaluate_crc_cnmf_stability.py;pilots/hcc-sc-spatial-npj-2026/code/phase_zero/test_phase_zero_bootstrap.py::test_cnmf_stability_distinguishes_seed_and_independent_holdout_evidence	2026-08-10	真实四运行图产生了包含同一解中多个程序的 89 节点伪家族；失败 v1 保留，v2 仅输出同 K 配对和逐 K 汇总。该规则适用于需要跨 K 合并潜在因子/程序的论文类型，不要求所有论文增加 cNMF 模块。
P2P-L021	证据清单不能校验正在写入的自身	paper_specific	evidence_packaging	local_only	P2P-HCC-SC-SPATIAL-NPJ-2026#HCC-I23	手工证据打包命令把 checksum 清单自身纳入清单，形成不可满足的自引用。	会制造一个固定的假完整性失败，但本次没有改变任何科学文件。	本 Pilot 的清单排除自身，57/57 文件在本地和服务器通过；归档 SHA256 单独保存，不新增通用 schema。	pilots/hcc-sc-spatial-npj-2026/evidence/phase0-run/manifests/final_evidence_files.sha256	2026-08-10	若未来其他 Pilot 重复出现，再考虑提供最小打包脚本；当前只保留局部补法。
P2P-L022	参考异常率必须与方法覆盖率同时审查	paper_type	method_reconstruction	observed	P2P-HCC-SC-SPATIAL-NPJ-2026#HCC-I27	多工具判定中，正常参考的异常阳性率可以很低，但大量参考仍可能处于 filtered、not.defined 或其他未解决状态。	若只看异常阳性率，workflow 会把“没有被判错”误写成“参考校准充分”，进而高估下游程序输入可靠性。	当前 CRC 运行不事后改 CNA 阈值；人工报告同时披露异常支持和未解决比例，并在 cNMF 预设一次排除高未解决样本的敏感性。若另一论文类型复现，再把覆盖率变成通用必填门槛。	pilots/hcc-sc-spatial-npj-2026/reports/paired-malignancy-human-review.md	2026-08-11	本次 43 样本中无样本异常率超过 10%，但 6 个样本的正常参考未解决率超过 50%；目前记录为 observed，不据一个案例扩建核心 schema。
P2P-L023	官方工具输出字段仍需核对实际计算语义	paper_type	method_reconstruction	observed	P2P-HCC-SC-SPATIAL-NPJ-2026#HCC-I28	官方工具生成的字段名或元数据值可能来自函数默认值，却不代表该参数在当前统计路径中实际生效；若只照抄输出列名，会制造方法冲突。	目标论文可能错误报告关键参数、误判执行合同被违反，或为一个标签问题无必要地重跑大型计算。	先检查锁定版本的实际调用路径和产物命名；保留原始输出，同时在目标 adapter 中用不改变科学结果的显式语义列修复，并增加针对该版本的回归测试。若其他工具重复出现，再考虑通用输出语义审计规则。	pilots/hcc-sc-spatial-npj-2026/code/phase_zero/test_formal_cnmf_runtime.py::test_k_selection_default_is_not_mislabeled_as_final_consensus_threshold;pilots/hcc-sc-spatial-npj-2026/reports/formal-cnmf-k-human-review.md	2026-08-12	cNMF 1.7.1 K-selection 的 skip-density 路径把默认 0.5 返回为 local_density_threshold，而最终 consensus 实际为 0.1；目前只记为 observed，不扩建 schema。
P2P-L024	大型已核验输入不能在每个下游步骤重复全量哈希	general	data_provenance	verified	P2P-HCC-SC-SPATIAL-NPJ-2026#HCC-I19	下游步骤若反复读取并重新哈希几十 GB 的上游输入，会把已经完成的分析拖成超时；若完全跳过核验，又会失去输入身份约束。	真实步骤可能因重复 I/O 假失败，或在文件已替换时静默沿用旧 checksum。	首次读取时保存规范路径、字节数和 SHA256；下游绑定已通过的上游回执，快速复核路径与字节数，继承原始 SHA256，并在身份变化时失败关闭。	pilots/hcc-sc-spatial-npj-2026/code/phase_zero/test_phase_zero_bootstrap.py::test_cna_panel_upstream_resource_receipt_fails_closed_on_size_change;pilots/hcc-sc-spatial-npj-2026/evidence/phase0-run/receipts/P0_cna_panel_selection_receipt.json	2026-08-12	CRC 31 GB H5AD 的首次核验保持不变；修复只消除下游重复全文件 I/O，不把路径或大小检查冒充内容哈希。
