code_id	route_id	module_id	name	source_type	uri	version	license	language	environment	entrypoint	contract_match	noninteractive	private_inputs	hardcoded_paths	path_portability	path_test	verification	decision	checked_at	smoke_input	smoke_output	tests_passed	notes
GAC-C01	HCC-CS-R01	GAC-M01	official cNMF implementation	official	https://github.com/dylkot/cNMF	unfrozen main; must pin commit	MIT	Python	unfrozen	cnmf prepare/factorize/combine/consensus	unknown	true	false	false	not_checked	Not run in target project environment	inspected	candidate	2026-08-08				Repository documents count/h5ad/MTX inputs and includes tests; target-cancer adapter and donor-aware stability code are still missing.
GAC-C02	HCC-CS-R01	GAC-M02	COMMOT official implementation	official	https://github.com/zcang/COMMOT	unfrozen main; must pin commit	MIT	Python	unfrozen	Python API	unknown	unknown	false	unknown	not_checked	Not run in target project environment	inspected	candidate	2026-08-08				One component of spatial analysis; cell2location/MISTy and cross-language orchestration remain to be qualified.
GAC-C03	HCC-CS-R01	GAC-M03	Geneformer official implementation and model	official	https://huggingface.co/ctheodoris/Geneformer	model/repository revision not yet pinned	Apache-2.0	Python	GPU environment not frozen	Geneformer tokenizer; classifier; in-silico perturbation	unknown	true	false	false	not_checked	No GPU smoke test performed	inspected	candidate	2026-08-08				Official tools exist, but anchor-specific fine-tuning/split code is unavailable. V1 excluded malignant cells during pretraining; model-version choice needs scientific justification.
CRC-C01	HCC-CS-R02	CRC-M06	official cNMF implementation	official	https://github.com/dylkot/cNMF	1.7.1; wheel SHA256 A4B237169626F632FEE04A31441365669B12A02C72A93B079686B0CE47A29EC9; freeze SHA256 DE7FD96D2FE360DD13B74755F076DD3AD2407316FEB09550832DC59168693B88	MIT	Python	isolated cloud venv env/cnmf; pinned freeze retained	pilots/hcc-sc-spatial-npj-2026/code/phase_zero/run_crc_cnmf.py	false	true	false	false	target_environment_passed	Cloud server paths and noninteractive outputs passed on real CRC counts	tested	candidate	2026-08-10	1976 real author-Cancer cells x 28088 genes; two seeds	K tables mixing tables spectra and stability tables	orientation; integer/nonnegative input; n_iter minimum; seed/adjacent-K matching	Official algorithm and reconstructed adapter are reusable for diagnostics. Full contract remains false until the CNA-supported set, 100-200 initializations, patient/dataset holdouts, balanced resampling and program merge acceptance are completed.
CRC-C02	HCC-CS-R02	CRC-M02	COMMOT official implementation	official	https://github.com/zcang/COMMOT	unfrozen main; must pin commit	MIT	Python	unfrozen	Python API	unknown	unknown	false	unknown	not_checked	Not run in target project environment	inspected	candidate	2026-08-08				Spatial archive parsing and replication design are not provided by the method repository.
CRC-C03	HCC-CS-R02	CRC-M03	Geneformer official implementation and model	official	https://huggingface.co/ctheodoris/Geneformer	model/repository revision not yet pinned	Apache-2.0	Python	GPU environment not frozen	Geneformer tokenizer; classifier; in-silico perturbation	unknown	true	false	false	not_checked	No GPU smoke test performed	inspected	candidate	2026-08-08				CRC already has a recent Geneformer paper; target question and baselines require special scrutiny.
CRC-C04	HCC-CS-R02	CRC-M01	CRC-atlas author atlas-build pipeline	author	https://github.com/icbi-lab/crc-atlas	82c15ecc2ea36baa0c4cffe8818bf58e21dcfc48	BSD-3-Clause-Clear	Python;R;Nextflow	Conda YAMLs and Singularity/Nextflow; not installed locally	nextflow run main.nf -profile singularity -params-file params_build_atlas.yaml	unknown	true	false	true	blocked	Author /data/projects and /data/scratch paths must be parameterized; no target-server path test	inspected	candidate	2026-08-08				Strong reusable build-atlas code, but README also advertises a downstream workflow/config that is absent. Exact rebuild documentation targets an A100 80 GB environment and notes hardware-dependent outputs.
CRC-C05	HCC-CS-R02	CRC-M06	CRC-atlas myeloid cNMF notebooks	author	https://github.com/icbi-lab/crc-atlas/tree/82c15ecc2ea36baa0c4cffe8818bf58e21dcfc48/analyses/20_myeloid_cNMF	82c15ecc2ea36baa0c4cffe8818bf58e21dcfc48	BSD-3-Clause-Clear	Python;Jupyter	Conda envs/cNMF.yaml not installed	01_preprocessing.ipynb;02_cNMF.ipynb;03_ORA_GSEA.ipynb	false	false	false	true	blocked	Notebook paths and implicit intermediate files not ported	inspected	candidate	2026-08-10				Useful CRC interface donor only: it analyzes myeloid cells; its min-max K score Ward-on-square-cosine merge and manual labels cannot satisfy the malignant program contract.
CRC-C06	HCC-CS-R02	CRC-M02	CRC-atlas Xenium and IMC notebooks	author	https://github.com/icbi-lab/crc-atlas/tree/82c15ecc2ea36baa0c4cffe8818bf58e21dcfc48/analyses	82c15ecc2ea36baa0c4cffe8818bf58e21dcfc48	BSD-3-Clause-Clear	Python;Jupyter	Conda envs/xenium.yml and envs/IMC.yaml not installed	analyses/60_Xenium_spatial;analyses/70_IMC_spatial	false	false	false	true	blocked	No portable downstream entrypoint; primary-only panel cannot satisfy primary-to-CRLM module	inspected	candidate	2026-08-08				Valuable source for primary CRC spatial neighborhoods. It does not replace GSE225857 parsing, whole-transcriptome malignant-program projection or held-out CRLM replication.
CRC-C07	HCC-CS-R02	CRC-M04	CRC-atlas TCGA survival script	author	https://github.com/icbi-lab/crc-atlas/blob/82c15ecc2ea36baa0c4cffe8818bf58e21dcfc48/analyses/41_TCGA_survival/CRC_immune_subgroups_TCGA.R	82c15ecc2ea36baa0c4cffe8818bf58e21dcfc48	BSD-3-Clause-Clear	R	Environment and inputs not installed	CRC_immune_subgroups_TCGA.R	unknown	unknown	unknown	true	blocked	Input paths and expected output not adapted or run	inspected	candidate	2026-08-08				A clinical-analysis donor, not evidence that the target malignant programs or treatment estimand already have independent validation.
