sample_id	state_score	LUAD_features	LUSC_features	truth	prediction
ACH-000012	0.0746658887778929	157	193	LUAD	LUAD
ACH-000021	-0.0394894398377901	157	193	LUAD	LUAD
ACH-000029	1.24868472481281	157	193	LUAD	LUAD
ACH-000030	-0.170181843375571	157	193	LUAD	LUSC
ACH-000033	0.0174271088446627	157	193	LUAD	LUAD
ACH-000035	-0.848984325938321	157	193	LUAD	LUSC
ACH-000062	-0.0306312565670855	157	193	LUAD	LUAD
ACH-000066	1.04655577387115	157	193	LUAD	LUAD
ACH-000109	1.37798213297932	157	193	LUAD	LUAD
ACH-000121	-0.0202038872824903	157	193	LUAD	LUAD
ACH-000150	1.1677808109384	157	193	LUAD	LUAD
ACH-000161	0.0710729050395904	157	193	LUAD	LUAD
ACH-000176	0.114073550554678	157	193	LUSC	LUAD
ACH-000261	-0.170071186228585	157	193	LUSC	LUSC
ACH-000282	0.0486586427941699	157	193	LUAD	LUAD
ACH-000311	0.342195361195201	157	193	LUAD	LUAD
ACH-000314	-0.0823305771936049	157	193	LUAD	LUAD
ACH-000327	1.36158505704492	157	193	LUAD	LUAD
ACH-000337	0.532605676484254	157	193	LUAD	LUAD
ACH-000339	-0.39736995187405	157	193	LUAD	LUSC
ACH-000343	-0.240391934276992	157	193	LUAD	LUSC
ACH-000367	-0.256078814702081	157	193	LUSC	LUSC
ACH-000379	1.16075511186183	157	193	LUAD	LUAD
ACH-000390	-2.1626278551871	157	193	LUSC	LUSC
ACH-000392	0.608498422841929	157	193	LUAD	LUAD
ACH-000395	-1.13846897590738	157	193	LUSC	LUSC
ACH-000414	0.350751694920138	157	193	LUAD	LUAD
ACH-000416	-0.776125051467853	157	193	LUAD	LUSC
ACH-000442	-1.2151632816213	157	193	LUSC	LUSC
ACH-000447	1.18429353223167	157	193	LUAD	LUAD
ACH-000448	-0.717265480557857	157	193	LUAD	LUSC
ACH-000451	-0.771451572267297	157	193	LUAD	LUSC
ACH-000454	-2.77821155064776	157	193	LUSC	LUSC
ACH-000481	0.00405344010896823	157	193	LUSC	LUAD
ACH-000482	1.66866582975752	157	193	LUAD	LUAD
ACH-000496	-0.406282167883791	157	193	LUAD	LUSC
ACH-000511	0.0560260733830611	157	193	LUSC	LUAD
ACH-000521	0.234746926612824	157	193	LUAD	LUAD
ACH-000528	-0.599471618125839	157	193	LUAD	LUSC
ACH-000553	0.564688264570629	157	193	LUSC	LUAD
ACH-000562	1.19323062082247	157	193	LUAD	LUAD
ACH-000563	-0.359000820712043	157	193	LUSC	LUSC
ACH-000575	0.149387746849368	157	193	LUAD	LUAD
ACH-000578	0.743686667212385	157	193	LUAD	LUAD
ACH-000585	-1.82082495010977	157	193	LUSC	LUSC
ACH-000587	-0.00498049838471226	157	193	LUAD	LUAD
ACH-000589	0.733929875672193	157	193	LUAD	LUAD
ACH-000590	0.132315369461385	157	193	LUAD	LUAD
ACH-000638	1.72633749523512	157	193	LUAD	LUAD
ACH-000665	0.378368219124268	157	193	LUSC	LUAD
ACH-000666	-0.0340635287526311	157	193	LUAD	LUAD
