figure_id	route_id	role	title	question	data_requirement_ids	code_module_ids	source_table	acceptance_test	required	status	notes
GAC-F1	HCC-CS-R01	main	Gastric cohort design and integrated atlas	Are donor, cohort, state, site and treatment roles identifiable without perfect state-cohort confounding?	GAC-D01;GAC-D02	GAC-M01	planned/gac_cohort_design.tsv	Every cell maps to one donor/sample; per-group donor counts reported; confounding and holdout plan explicit	true	mapped	A large UMAP is not an acceptance test.
GAC-F2	HCC-CS-R01	main	Recurrent malignant gastric meta-programs	Which malignant programs recur across donors and datasets?	GAC-D01	GAC-M01	planned/gac_program_stability.tsv	Programs stable across seeds and donor/cohort holdouts under a prespecified similarity rule	true	mapped	Uses nonnegative input with frozen provenance.
GAC-F3	HCC-CS-R01	main	Donor-level immune and stromal remodeling	Which ecosystem states associate with disease site after donor-level inference?	GAC-D02	GAC-M01	planned/gac_ecosystem_donor_results.tsv	Effect estimates use donor/sample units and report uncertainty; one-donor sites cannot support general claims	true	mapped	GSE234129 alone currently fails the metastatic donor requirement.
GAC-F4	HCC-CS-R01	main	Replicated spatial program niches	Do malignant and stromal programs form reproducible spatial neighborhoods?	GAC-D03	GAC-M02	planned/gac_spatial_niche_results.tsv	All sections run; discovery and validation separated; spatial null rejected and independent patients replicate direction	true	mapped	No causal communication wording without perturbation.
GAC-F5	HCC-CS-R01	main	Independent clinical and treatment projection	Do frozen programs associate with survival or modify treatment response?	GAC-D04	GAC-M04	planned/gac_clinical_validation.tsv	Endpoint and arms explicit; multivariable diagnostics pass; external effect and interaction reported with multiplicity control	true	mapped	Negative results remain part of the Figure/source table.
GAC-F6	HCC-CS-R01	main	Robust virtual perturbation candidates	Which genes consistently shift prespecified malignant or ecosystem states?	GAC-D01;GAC-D02	GAC-M03	planned/gac_perturbation_stability.tsv	Donor-disjoint model; stable across seeds/splits/alternative labels; beats expression/correlation baselines; orthogonal evidence reported	true	mapped	Without experimental support use candidate language.
CRC-F1	HCC-CS-R02	main	CRC precursor-primary-metastasis cohort design	Can normal/polyp/primary/liver-metastasis roles be separated from cohort, site and treatment?	CRC-D01;CRC-D02	CRC-M01	planned/crc_cohort_design.tsv	Every sample/donor and treatment maps uniquely; group counts and bridge/holdout design pass	true	mapped	Must parse real archives before the contract is accepted.
CRC-F2	HCC-CS-R02	main	Recurrent CRC malignant meta-programs	Which programs recur across precursor, primary and metastatic states?	CRC-D01;CRC-D02	CRC-M01	planned/crc_program_stability.tsv	Programs survive seeds and donor/cohort holdouts; stage association is donor-level	true	mapped	Continuum language remains observational.
CRC-F3	HCC-CS-R02	main	CRC ecosystem remodeling across states	Which immune/stromal states differ at donor level?	CRC-D01;CRC-D02	CRC-M01	planned/crc_ecosystem_donor_results.tsv	Donor-level effect estimates with treatment/site sensitivity analyses	true	mapped	Cell counts cannot be inferential replicates.
CRC-F4	HCC-CS-R02	main	Matched and replicated spatial metastatic niches	Which program neighborhoods differ between primary CRC and liver metastasis?	CRC-D02	CRC-M02	planned/crc_spatial_niche_results.tsv	Matching verified; all sections analyzed; spatial null and independent replication pass	true	mapped	Source-paper claims using GSE225857 cannot be republished as new.
CRC-F5	HCC-CS-R02	main	Independent clinical and treatment relevance	Do frozen programs associate with outcomes in independent CRC cohorts?	CRC-D03	CRC-M04	planned/crc_clinical_validation.tsv	Patient identity and endpoints pass; multivariable/external results and negative findings reported	true	mapped	Avoid reuse leakage.
CRC-F6	HCC-CS-R02	main	Robust CRC virtual perturbation candidates	Which candidates shift prespecified states beyond simple baselines?	CRC-D01;CRC-D02	CRC-M03	planned/crc_perturbation_stability.tsv	Donor-disjoint stability, nulls, baselines and orthogonal validation pass	true	mapped	Geneformer use is not itself the novelty or validation.
ICC-F1	HCC-CS-R03	main	Qualified ICC cohort and recurrent programs	Can public ICC data support adequate donor groups and stable malignant programs?	ICC-D01	ICC-M01	planned/icc_cohort_and_programs.tsv	Every decisive group meets donor minimum and programs survive holdouts	true	mapped	If this fails, the full route stops.
ICC-F2	HCC-CS-R03	main	ICC ecosystem states	Which donor-level immune/stromal states associate with retained disease states?	ICC-D01	ICC-M01	planned/icc_ecosystem_results.tsv	Donor-level effect estimates with cohort sensitivity pass	true	mapped	Figure is dropped in a reduced route if data are inadequate.
ICC-F3	HCC-CS-R03	main	ICC spatial and clinical validation	Do any retained programs replicate spatially and clinically?	ICC-D02	ICC-M02	planned/icc_spatial_clinical.tsv	Independent patients, complete endpoints and appropriate spatial/clinical diagnostics pass	true	mapped	Full route is blocked until a real dataset can complete this paper task.
ICC-F4	HCC-CS-R03	main	ICC perturbation candidate prioritization	Can robust source/target states yield stable candidates?	ICC-D01	ICC-M03	planned/icc_perturbation_stability.tsv	Pinned model, donor split, seeds, nulls, baselines and orthogonal checks pass	true	mapped	Remove rather than fabricate if source/target states are weak.
