block_id	panel	upstream_file	sha256	line_start	line_end	mode	allowed_replacements	note
aesthetics	all	Static_Scripts/plotting_aesthetics.R	52f1fc590c6cad927ee0d1b030ddc215e99c506d15b465f3c805a9cc0ca11c1d	1	161	verbatim		Official fixed palettes
supp5a_skew	SupplementaryFigure5A	Figure3/06-Activity_Score_Heterogeneity_Across_Patients.R	ea0ad4d093d1af0e65d2e81e25181d9f02e4b4614229acb37b4da44a8bf0df63	245	269	label_patch	TNBC samples=>LUAD samples	Official PDX/cell-line skewness constructor
supp5b_volcano	SupplementaryFigure5B	Figure3/08D-Plot_ESTIMATE_Volcano.R	758248868b1375bbab20970e414294c0f085efae0104619a70019bee71a160ff	81	128	verbatim		Official ESTIMATE volcano function
supp5b_heatmap	SupplementaryFigure5B	Figure3/08E-Plot_Heatmap_ESTIMATE.R	43569ca10503416e48abace611445148c5e706b6d926cf1c7da58a025d0e8c38	87	247	verbatim		Official ESTIMATE filtering, heatmap constructor, Helvetica rendering, device dimensions, and FDR-star footer
supp6a_uni_gse_os	SupplementaryFigure6A	Figure4/03-Plot_UniVariate_METABRIC_TCGA.R	2bc192cab24ac5e2aff429309a9053d3f931a630b20de29e3d43d40d453187c0	32	62	label_path_patch	METABRIC=>GSE41271_LUAD	Official univariable Cox volcano block
supp6b_uni_gse_rfs	SupplementaryFigure6B	Figure4/03-Plot_UniVariate_METABRIC_TCGA.R	2bc192cab24ac5e2aff429309a9053d3f931a630b20de29e3d43d40d453187c0	69	99	label_path_patch	METABRIC=>GSE41271_LUAD	Official univariable Cox volcano block
supp6c_uni_tcga_os	SupplementaryFigure6C	Figure4/03-Plot_UniVariate_METABRIC_TCGA.R	2bc192cab24ac5e2aff429309a9053d3f931a630b20de29e3d43d40d453187c0	106	136	label_path_patch	TCGA=>TCGA_LUAD	Official univariable Cox volcano block
supp6d_uni_tcga_rfs	SupplementaryFigure6D	Figure4/03-Plot_UniVariate_METABRIC_TCGA.R	2bc192cab24ac5e2aff429309a9053d3f931a630b20de29e3d43d40d453187c0	143	173	label_path_endpoint_patch	TCGA=>TCGA_LUAD;RFS\nTCGA_LUAD=>DFS\nTCGA_LUAD	Official univariable Cox volcano block; visible endpoint label audited from RFS to frozen TCGA DFS semantics
supp6e_multi_gse_os	SupplementaryFigure6E	Figure4/02-Plot_CoxMultiVariate_METABRIC_TCGA.R	fa6548bc8c6f5765058e6ab694a2c800ec3e09e02cb61ef8da44c34408c18961	32	62	label_path_patch	METABRIC=>GSE41271_LUAD	Official multivariable Cox volcano block
supp6f_multi_gse_rfs	SupplementaryFigure6F	Figure4/02-Plot_CoxMultiVariate_METABRIC_TCGA.R	fa6548bc8c6f5765058e6ab694a2c800ec3e09e02cb61ef8da44c34408c18961	69	99	label_path_patch	METABRIC=>GSE41271_LUAD	Official multivariable Cox volcano block
supp6g_multi_tcga_os	SupplementaryFigure6G	Figure4/02-Plot_CoxMultiVariate_METABRIC_TCGA.R	fa6548bc8c6f5765058e6ab694a2c800ec3e09e02cb61ef8da44c34408c18961	106	136	label_path_patch	TCGA=>TCGA_LUAD	Official multivariable Cox volcano block
supp6h_multi_tcga_rfs	SupplementaryFigure6H	Figure4/02-Plot_CoxMultiVariate_METABRIC_TCGA.R	fa6548bc8c6f5765058e6ab694a2c800ec3e09e02cb61ef8da44c34408c18961	143	173	label_path_endpoint_patch	TCGA=>TCGA_LUAD;RFS\nTCGA_LUAD=>DFS\nTCGA_LUAD	Official multivariable Cox volcano block; visible endpoint label audited from RFS to frozen TCGA DFS semantics
fig4_km	Figure4F;Figure4H	Figure4/04-Kaplan_Meyer_Curves_UniVariate_METABRIC_TCGA.R	7b5cbcea3d59fe4707c51faecd68361e8aa6c839a4cb54ccdec814a0060f1296	10	65	verbatim		Official Kaplan-Meier function; LUAD TF choices supplied by adapter
fig4_forest	Figure4A-D	Figure4/05-Plot_HazardRatio_ConfidenceInterval.R	e2a780a83d3269eb17a1f89d9288024f1b8ee2c9f2c28763035376c9dc46211a	20	99	verbatim		Official forest constructor
fig4_euler	Figure4E;Figure4G	Figure4/06-Determine_Overlap_TCGA_METABRIC_TRs.R	d4deae4e409438e7fb73bcaabc334e67ce7e04ce601727075898729ee866de10	51	84	verbatim		Official prognosis Euler constructor
