requirement_id	route_id	role	disease	tissue	modality	biological_unit	comparison_or_outcome	required_fields	minimum_subjects	access_limit	independence_required	required	notes
GAC-D01	HCC-CS-R01	malignant-program discovery	gastric adenocarcinoma	premalignant or adjacent, primary and metastatic sites	scRNA-seq counts	donor	state series and malignant-program recurrence	donor_id;sample_id;dataset_id;tissue_state;site;treatment;count_matrix;malignant_label	5	public	false	true	Minimum is per decisive group, not total; current schema cannot express this correctly and route qualification must enforce it manually.
GAC-D02	HCC-CS-R01	immune and stromal ecology	gastric adenocarcinoma	primary, ascites and distant metastasis	scRNA-seq counts and cell metadata	donor	donor-level TME composition and state differences	donor_id;sample_id;site;celltype;cell_barcode	5	public	false	true	GSE234129 is a real candidate but its distant metastatic sites each have one donor/sample.
GAC-D03	HCC-CS-R01	spatial localization	gastric adenocarcinoma	primary and advanced or metastatic tissue	spatial transcriptomics	patient/section	replication of malignant-stromal niches	sample_id;patient_id;matrix;coordinates;histology;tissue_region	4	public	true	true	Multiple patients and a discovery/validation split are required.
GAC-D04	HCC-CS-R01	clinical and treatment validation	gastric adenocarcinoma	primary tumor	bulk transcriptomics plus outcome	patient	overall survival and explicit treatment response	expression;patient_id;survival_time;event;treatment;response;covariates	100	public	true	true	Survival and treatment may require separate cohorts; endpoints must be explicit.
CRC-D01	HCC-CS-R02	precursor-to-primary malignant-program discovery	colorectal cancer	normal colon, polyp and primary CRC	scRNA-seq counts	donor	state continuum and recurrent malignant programs	donor_id;sample_id;dataset_id;tissue_state;count_matrix;malignant_label	5	public	false	true	Minimum is per decisive group; cohort and germline APC status must be modeled.
CRC-D02	HCC-CS-R02	primary-to-liver-metastasis ecosystem	colorectal cancer	primary colorectal and liver metastasis	scRNA-seq counts and cell metadata	donor	matched or bridge-cohort primary versus liver metastasis	donor_id;sample_id;dataset_id;site;treatment;count_matrix;celltype	5	public	false	true	Preoperative therapy, matching and cohort effects must be explicit; minimum is per state.
CRC-D03	HCC-CS-R02	clinical and treatment validation	colorectal cancer	primary or metastatic tumor	bulk transcriptomics plus outcome	patient	survival and a prespecified treatment endpoint	expression;patient_id;survival_time;event;treatment;response;covariates	100	public	true	true	Discovery-exposed cohorts cannot be called external validation.
CRC-D04	HCC-CS-R02	spatial localization and niche validation	colorectal cancer	primary colorectal and liver-metastatic tissue	cell-resolved or whole-transcriptome spatial assay	patient/section	replicated primary niches plus primary-to-liver program localization	patient_id;sample_id;site;matrix;coordinates;histology;gene_panel	4	public	true	true	A targeted panel may cover only the primary-niche subrole; full malignant-program projection requires adequate gene coverage and a CRLM spatial cohort.
ICC-D01	HCC-CS-R03	malignant-program and ecology discovery	intrahepatic cholangiocarcinoma	normal or precursor, primary and advanced/metastatic sites	scRNA-seq counts	donor	state series and recurrent malignant programs	donor_id;sample_id;dataset_id;tissue_state;site;count_matrix;malignant_label;celltype	5	public	false	true	A dedicated search must determine whether every state can reach the donor minimum.
ICC-D02	HCC-CS-R03	spatial and clinical validation	intrahepatic cholangiocarcinoma	primary and advanced disease	spatial transcriptomics plus bulk clinical outcome	patient/section	replicated niche plus survival or treatment outcome	patient_id;sample_id;matrix;coordinates;histology;survival_time;event;treatment;response	4	public	true	true	May need separate datasets; full route is blocked until both roles exist.
