check_id	status	observed	expected	evidence
full_run_marker::Strict replay complete:	PASS	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/full_run.log
full_run_marker::Final corrected Figure 1-2 port complete:	PASS	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/full_run.log
full_run_marker::Secondary GSE81089 official-block replay complete:	PASS	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/full_run.log
strict_primary_figure1::row_count	PASS	11	11	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/runtime_strict_replay/audit/figure1_official_block_receipt.tsv
strict_primary_figure1::all_generated	PASS	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/runtime_strict_replay/audit/figure1_official_block_receipt.tsv
strict_primary_figure1::validation_dataset	PASS	['GSE41271']	['GSE41271']	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/runtime_strict_replay/audit/figure1_official_block_receipt.tsv
strict_primary_figure1::bug_status	PASS	['CAPSULE_BUG_RETAINED']	['CAPSULE_BUG_RETAINED']	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/runtime_strict_replay/audit/figure1_official_block_receipt.tsv
final_primary_figure1::row_count	PASS	11	11	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/runtime_final_corrected/audit/figure1_official_block_receipt.tsv
final_primary_figure1::all_generated	PASS	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/runtime_final_corrected/audit/figure1_official_block_receipt.tsv
final_primary_figure1::validation_dataset	PASS	['GSE41271']	['GSE41271']	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/runtime_final_corrected/audit/figure1_official_block_receipt.tsv
final_primary_figure1::bug_status	PASS	['ANCHOR_BUGFIX']	['ANCHOR_BUGFIX']	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/runtime_final_corrected/audit/figure1_official_block_receipt.tsv
secondary_figure1::row_count	PASS	11	11	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/runtime_secondary_GSE81089_corrected/audit/figure1_official_block_receipt.tsv
secondary_figure1::all_generated	PASS	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/runtime_secondary_GSE81089_corrected/audit/figure1_official_block_receipt.tsv
secondary_figure1::validation_dataset	PASS	['GSE81089']	['GSE81089']	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/runtime_secondary_GSE81089_corrected/audit/figure1_official_block_receipt.tsv
secondary_figure1::bug_status	PASS	['ANCHOR_BUGFIX']	['ANCHOR_BUGFIX']	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/runtime_secondary_GSE81089_corrected/audit/figure1_official_block_receipt.tsv
final_figure2::row_count	PASS	6	6	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/runtime_final_corrected/audit/figure2_official_script_receipt.tsv
final_figure2::all_generated	PASS	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/runtime_final_corrected/audit/figure2_official_script_receipt.tsv
figure2c::capsule_print_mismatch	PASS	CAPSULE_PRINT_MISMATCH;PAIRED_TCGA_ATAC_RNA_N21_OF_N22	CAPSULE_PRINT_MISMATCH;PAIRED_TCGA_ATAC_RNA_N21_OF_N22	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/runtime_final_corrected/audit/figure2_official_script_receipt.tsv
supplementary4c::empty_set_bugfix_boundary	PASS	ANCHOR_EMPTY_SET_BUGFIX	ANCHOR_EMPTY_SET_BUGFIX	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/runtime_final_corrected/audit/figure2_official_script_receipt.tsv
figure1::discovery_tf_count	PASS	351	351	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/adapter_final_corrected/audit/figure1_cross_system_heatmap_tf_availability.tsv
figure1::cross_system_heatmap_tf_count	PASS	350	350	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/adapter_final_corrected/audit/figure1_cross_system_heatmap_tf_availability.tsv
figure1::missing_heatmap_tf	PASS	['ZNF737']	['ZNF737']	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/adapter_final_corrected/audit/figure1_cross_system_heatmap_tf_availability.tsv
figure1::znf737_audit_rows	PASS	1	1	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/adapter_final_corrected/audit/figure1_model_heatmap_missing_tf_audit.tsv
