atom_id	status	note	is_missing
Figure1A	MANUAL_REQUIRED	OFFICIAL CODE NOT PROVIDED	NO
SupplementaryFigure1A	MANUAL_REQUIRED	OFFICIAL CODE NOT PROVIDED	NO
SupplementaryFigure1B	MANUAL_REQUIRED	OFFICIAL CODE NOT PROVIDED	NO
Figure2A	MANUAL_REQUIRED	OFFICIAL CODE NOT PROVIDED	NO
SupplementaryFigure4A	MANUAL_REQUIRED	OFFICIAL CODE NOT PROVIDED	NO
Figure5F_high	SUPPORTED_ZERO	No high-CI pair in an official main pathway class	NO
Figure5G	UNSUPPORTED	NO ELIGIBLE LUAD PDX VALIDATION INPUT	NO
Figure5H	UNSUPPORTED	NO ELIGIBLE LUAD PDX RESPONSE INPUT	NO
SupplementaryFigure7C_high	SUPPORTED_ZERO	No high-CI pair in an official supplementary pathway class	NO
SupplementaryFigure7D	UNSUPPORTED	NO VALIDATED LUAD PDX DRUG-TF PAIR	NO
