anchor_item	panel	biological_role	official_script	key_statistic_or_rule	visual_grammar	luad_target
Figure1	A	Define the cross-system TF-activity workflow	Figure1/10-Plot_Figure1.R; BioRender artwork	Separate ARACNe networks for TCGA and METABRIC; TCGA regulon projection to PDX and cell lines	Cohort boxes connected to a central ARACNe/VIPER result	Stacked, balanced workflow with discovery, two patient validations, PDX, and cell line branches
Figure1	B	Separate TF activity from TF expression	Figure1/10-Plot_Figure1.R	msVIPER FDR <= 0.01; limma BH and |log2FC| >= 0.5	Activity-versus-expression scatter with evidence categories	TCGA LUAD-versus-LUSC scatter with explicit category counts
Figure1	C	Show patient-level TF-state heterogeneity	Figure1/10-Plot_Figure1.R	Single-sample VIPER activity; row scaling	Annotated ComplexHeatmap	TCGA LUAD/LUSC activity heatmap with lung-relevant clinical and molecular annotations
Figure1	D	Test transfer to PDX	Figure1/10-Plot_Figure1.R	TCGA regulon projected with VIPER	Annotated ComplexHeatmap	PDMR LUAD/LUSC PDX heatmap with diagnosis, model, and state annotations
Figure1	E	Test transfer to cell lines	Figure1/10-Plot_Figure1.R	TCGA regulon projected with VIPER	Annotated ComplexHeatmap	DepMap LUAD/LUSC heatmap with lineage, site, sex, and state annotations
SupplementaryFigure1	A-B	Make cohort inclusion auditable	Figure1/01A-Extract_TNBC_NonTNBC_TCGA_Cohort.R; Figure1/01B-Extract_TNBC_NonTNBC_METABRIC_Cohort.R	Deterministic receptor-based inclusion	Flow diagrams	TCGA, GSE81089, GSE41271 histology-based flows
SupplementaryFigure2	A	Independent patient-cohort discovery	Figure1/10-Plot_Figure1.R	Independent METABRIC ARACNe/msVIPER	Activity-versus-expression scatter	GSE81089 and GSE41271 independent panels
SupplementaryFigure2	B	Quantify discovery replication	Figure1/09-Compare_TCGA_METABRIC.R	Direction-aware set overlap	Paired Venn diagrams	Three-way direction-aware UpSet plus pairwise counts
SupplementaryFigure2	C-E	Quantify sample-level coherence	Figure1/10-Plot_Figure1.R	Pearson correlation	Correlation heatmaps	TCGA, PDMR PDX, and DepMap cell-line correlation heatmaps
SupplementaryFigure2	F	Show per-sample distributions across systems	Figure1/10-Plot_Figure1.R	Per-sample VIPER NES	Compact per-TF distributions	Five-system quantile/box distribution panel with full values in Supplementary Data 2
SupplementaryFigure3	A-C	Audit peak burden	Figure2/02J2-Plot_Number_Peaks.R	Peak counts; IDR where replicates exist	Per-sample bars	Patient, PDX, and cell-line peak-count bars with library/model distinction
SupplementaryFigure3	D-F	Assess accessible-region saturation	Figure2/02B-Peak_Saturation.R; Figure2/02C-Peak_Saturation_Plot.R	SSasymp fit with bootstrap and 50/90/95/99% sample thresholds	Bootstrap boxes plus asymptotic curve	Same model and threshold labels for each LUAD system
SupplementaryFigure3	G-I	Assess sample similarity	Figure2/03D-Pearson_Correlation_Accessibility_ConsensusPeakSet.R	Pearson correlation on consensus accessibility	Correlation heatmaps	Patient, PDX, and cell-line heatmaps
SupplementaryFigure3	J-L	Audit genomic composition	Figure2/04B-GenomicAnnotation.R	Feature proportions; Wilcoxon tests	Stacked/summary feature plots	Promoter/exonic/intronic/distal proportions with adjusted pairwise annotations
Figure2	A	Define chromatin systems	BioRender artwork	7 patient, 38 PDX, 26 cell-line TNBC samples	Three-system schematic	22 patient, 13 PDX, 19 cell-line LUAD design with provenance and independence counts
Figure2	B	Find TFs with broadly open promoters	Figure2/07B-UpSet_Plot_Promoter_Accessibility.R	At least half of samples in every system	ComplexUpset	True UpSet plot for 158 TFs
Figure2	C	Integrate activity, promoter accessibility, and motif evidence	Figure2/06C-PromoterAccessibility_MotifEnrichment.R	Mean NES categories; sample-level promoter/motif tiles; JASPAR-priority fallback	Aligned multi-block heatmap	Readable 31-HC-TF aligned matrix with system headers and motif-testability annotation
Figure2	D	Find motifs shared across systems	Figure2/07A-UpSet_Plot_Motif_Enrichment.R	HOMER q <= 1e-5 and at least half of samples	ComplexUpset	Strict motif UpSet; sensitivity result separated
Figure2	E	Show effect size and heterogeneity of motif enrichment	Figure2/08-Plot_TR_Examples.R	Mean log2 odds ratio, SD, sample prevalence; Wilcoxon BH	Point-range plus per-sample distributions	All strict/sensitivity TFs with prevalence and uncertainty; no cherry-picking beyond declared ranking
SupplementaryFigure4	A	Document HC-TF selection	Figure3/02-Determine_HC_TR.R	Promoter in half of each system; exclude only all-three mean NES < 0	Filtering flow	158 to 31 HC-TF flow with exact exclusions
SupplementaryFigure4	B	Show activity-category combinations	Figure3/02-Determine_HC_TR.R	Mean NES bins <0, 0-1, 1-3, >3	ComplexUpset	31-HC-TF activity-category UpSet
SupplementaryFigure4	C	Show motif database coverage	Figure3/01-Compare_JASPAR_CISBP_Motifs.R	JASPAR, CIS-BP, both, or none	Venn diagram	Coverage diagram plus explicit non-testable count
SupplementaryFigure4	D	Test proliferation association	Figure3/07A-Correlate_MKi67_HC-TR.R; 07B; 07C	Pearson r; BH FDR; anchor display r > 0.4	Cross-cohort heatmap plus volcanoes	TCGA, GSE41271, PDMR, DepMap MKI67 heatmap plus patient/PDX volcanoes
Figure3	A	Summarize signed regulon composition	Figure3/04-Summarize_Regulons_HC_TR.R	Activated/repressed; shared/TF-specific targets	Stacked horizontal bars with motif annotation	All 31 HC-TFs with signed composition and motif class
Figure3	B	Reveal target-gene communities	Figure3/05-Generate_Regulon_Network.R	Shared by at least three TFs; Louvain communities	Target-gene network with community hulls and biological-process labels	Actual LUAD target-gene community network; GO dot plot moved to inset/supplement
