TF	discovery_category	replicated_GSE81089	replicated_GSE41271	replicated_both
ABHD14B	LUAD	FALSE	TRUE	FALSE
ABRA	LUAD	FALSE	FALSE	FALSE
APBB1	LUAD	FALSE	FALSE	FALSE
ARX	LUAD	TRUE	FALSE	FALSE
ASCL5	LUAD	FALSE	FALSE	FALSE
ATOH8	LUAD	TRUE	TRUE	TRUE
BATF3	LUAD	FALSE	FALSE	FALSE
BCLAF3	LUAD	TRUE	FALSE	FALSE
CIITA	LUAD	FALSE	TRUE	FALSE
CREB3L2	LUAD	TRUE	TRUE	TRUE
CREBRF	LUAD	TRUE	FALSE	FALSE
CRY2	LUAD	TRUE	TRUE	TRUE
CSRNP1	LUAD	FALSE	FALSE	FALSE
DMRTC2	LUAD	FALSE	FALSE	FALSE
DRGX	LUAD	TRUE	FALSE	FALSE
E2F5	LUAD	TRUE	FALSE	FALSE
ELF3	LUAD	TRUE	TRUE	TRUE
ELF5	LUAD	FALSE	FALSE	FALSE
EPAS1	LUAD	TRUE	TRUE	TRUE
ESR1	LUAD	TRUE	TRUE	TRUE
ETV1	LUAD	TRUE	TRUE	TRUE
FOXA1	LUAD	TRUE	TRUE	TRUE
FOXA2	LUAD	TRUE	TRUE	TRUE
FOXA3	LUAD	TRUE	TRUE	TRUE
FOXD2	LUAD	TRUE	TRUE	TRUE
FOXP1	LUAD	TRUE	FALSE	FALSE
FOXP4	LUAD	FALSE	TRUE	FALSE
GATA5	LUAD	TRUE	TRUE	TRUE
GATA6	LUAD	FALSE	FALSE	FALSE
GCM1	LUAD	FALSE	FALSE	FALSE
GLIS3	LUAD	FALSE	TRUE	FALSE
HNF1A	LUAD	FALSE	FALSE	FALSE
HNF1B	LUAD	FALSE	FALSE	FALSE
HNF4G	LUAD	TRUE	TRUE	TRUE
HOPX	LUAD	TRUE	FALSE	FALSE
HOXD1	LUAD	TRUE	TRUE	TRUE
IKZF4	LUAD	TRUE	FALSE	FALSE
IL4	LUAD	FALSE	FALSE	FALSE
INSM2	LUAD	FALSE	FALSE	FALSE
IRF7	LUAD	FALSE	TRUE	FALSE
IRX3	LUAD	TRUE	TRUE	TRUE
JADE1	LUAD	TRUE	FALSE	FALSE
KANK2	LUAD	TRUE	FALSE	FALSE
KAT2B	LUAD	TRUE	FALSE	FALSE
KLF2	LUAD	FALSE	TRUE	FALSE
KLF9	LUAD	FALSE	TRUE	FALSE
LHX9	LUAD	FALSE	FALSE	FALSE
LIMD1	LUAD	TRUE	FALSE	FALSE
LMO3	LUAD	TRUE	TRUE	TRUE
LPIN2	LUAD	TRUE	TRUE	TRUE
LYL1	LUAD	FALSE	TRUE	FALSE
MAGEC3	LUAD	FALSE	FALSE	FALSE
MAGED2	LUAD	TRUE	FALSE	FALSE
MAGEE2	LUAD	FALSE	FALSE	FALSE
MDFIC	LUAD	TRUE	FALSE	FALSE
MEF2C	LUAD	TRUE	TRUE	TRUE
MEF2D	LUAD	FALSE	TRUE	FALSE
MEIS3P1	LUAD	FALSE	TRUE	FALSE
MEIS3P2	LUAD	FALSE	FALSE	FALSE
MESP1	LUAD	FALSE	TRUE	FALSE
MITF	LUAD	FALSE	TRUE	FALSE
MLLT3	LUAD	FALSE	FALSE	FALSE
MLLT6	LUAD	FALSE	FALSE	FALSE
MSANTD1	LUAD	TRUE	FALSE	FALSE
MXD4	LUAD	FALSE	TRUE	FALSE
MYRF	LUAD	TRUE	FALSE	FALSE
MYRFL	LUAD	FALSE	FALSE	FALSE
NANOGP1	LUAD	FALSE	FALSE	FALSE
NCOA7	LUAD	TRUE	TRUE	TRUE
NEUROG3	LUAD	FALSE	FALSE	FALSE
NFATC2	LUAD	FALSE	FALSE	FALSE
NFATC4	LUAD	FALSE	FALSE	FALSE
NFE2	LUAD	TRUE	TRUE	TRUE
NKX2-1	LUAD	TRUE	FALSE	FALSE
NOTO	LUAD	TRUE	FALSE	FALSE
NR0B2	LUAD	TRUE	TRUE	TRUE
NR1H4	LUAD	TRUE	FALSE	FALSE
NR2F1	LUAD	TRUE	TRUE	TRUE
