module_id	route_id	name	purpose	input_contract	output_contract	required_tests	required	notes
GAC-M01	HCC-CS-R01	Single-cell integration and malignant meta-programs	Build a donor-auditable gastric atlas and derive recurrent malignant programs	Raw/processed nonnegative counts plus immutable donor sample cohort state and treatment manifest	QC report; donor/state table; malignant labels; program usage and spectra; stability and holdout metrics	identifier-integrity;nonnegative-input;seed-stability;donor-holdout;cohort-holdout	true	Author code is unavailable; rebuild from official Seurat/Scanpy/CopyKAT/cNMF components.
GAC-M02	HCC-CS-R01	Spatial projection and niche validation	Map malignant and TME programs and test replicated neighborhoods	Spatial matrix coordinates histology and frozen single-cell reference with patient/section IDs	Per-section source tables; program maps; null/permutation statistics; independent replication	coordinate-integrity;all-section-run;spatial-null;heldout-replication	true	Do not select and validate an ROI with the same co-enrichment statistic.
GAC-M03	HCC-CS-R01	Foundation-model state perturbation	Prioritize genes that robustly shift prespecified gastric cell states	Frozen counts/metadata; donor-disjoint source/target labels; pinned model/token dictionary	Ranked perturbations with seed/split/state-definition stability nulls and simple baselines	tokenization;donor-split;seed-stability;label-permutation;simple-baseline	true	Model output is candidate prioritization, not causal knockout evidence.
GAC-M04	HCC-CS-R01	Clinical projection and validation	Project frozen program signatures into independent survival and treatment cohorts	Frozen gene sets plus expression, patient IDs, endpoints, treatment arms and covariates	Patient-level source table; multivariable estimates; diagnostics; multiplicity and interaction results	endpoint-integrity;patient-identity;PH-diagnostics;external-validation;treatment-interaction	true	Do not use discovery-exposed outcomes as untouched external validation.
CRC-M01	HCC-CS-R02	Foundation atlas QC integration and annotation	Build a donor-auditable normal polyp primary and metastatic CRC foundation atlas	Traceable count layer plus immutable patient sample study platform tissue state and treatment manifest	Per-sample QC and doublet receipts; integration metrics; author and reviewed labels; annotation evidence	identifier-integrity;count-layer-integrity;doublet-fail-closed;batch-biology-preservation;heldout-annotation	true	Author atlas code is an adapter donor; UMAP appearance and propagated author labels are not acceptance evidence.
CRC-M02	HCC-CS-R02	Spatial primary-metastasis niche validation	Project programs across CRC and liver-metastasis sections	Spatial matrices images coordinates and matched donor/site IDs	Per-section maps; source tables; nulls; matched/independent replication	coordinate-integrity;matching-integrity;spatial-null;heldout-replication	true	Preoperative therapy is part of the design, not disposable metadata.
CRC-M03	HCC-CS-R02	Foundation-model state perturbation	Prioritize robust state-shifting candidates	Frozen counts/metadata; donor-disjoint labels; pinned model/token dictionary	Stable ranked perturbations plus nulls and baselines	tokenization;donor-split;seed-stability;label-permutation;simple-baseline	true	A new model method does not by itself prevent publication duplication.
CRC-M04	HCC-CS-R02	Clinical projection and validation	Project frozen programs into independent CRC outcome and treatment cohorts	Frozen gene sets plus expression, patient IDs, endpoints, treatment arms and covariates	Patient source table; multivariable estimates; diagnostics; interactions and external checks	endpoint-integrity;patient-identity;PH-diagnostics;external-validation;treatment-interaction	true	Cohorts used to define programs cannot be relabeled external validation.
CRC-M05	HCC-CS-R02	Per-sample CNA malignancy inference	Classify epithelial cells with concordant CNA evidence while preserving unresolved and near-diploid tumors	Per-sample raw nonnegative UMI; patient sample tissue reviewed epithelial labels and explicit normal-reference candidates	CopyKAT and SCEVAN calls; CNA burden; method concordance; per-sample QC and three-level malignancy labels	raw-count-input;sample-isolation;reference-sufficiency;method-concordance;unresolved-preserved	true	HCC supplies the evidence role only; implementation must be rebuilt and diploid cannot automatically mean nonmalignant.
CRC-M06	HCC-CS-R02	Donor-stable malignant cNMF programs	Discover and freeze malignant programs that survive K seed sampling patient and dataset perturbations	High-confidence malignant nonnegative counts; fixed gene universe; patient sample dataset state manifest and discovery-holdout split	K diagnostics; spectra and usage; stability matches; patient and dataset mixing; merge membership and frozen programs	nonnegative-input;K-sensitivity;seed-stability;balanced-subsampling;donor-holdout;cohort-holdout;null-calibrated-merge	true	CRC myeloid cNMF and HCC malignant cNMF are donors for interfaces and evidence roles; neither is a valid target implementation without repair.
ICC-M01	HCC-CS-R03	ICC single-cell program pipeline	Derive recurrent ICC malignant programs and ecosystem states if data permit	Nonnegative counts and complete donor/state manifest	QC; malignant programs; donor/state results and stability	identifier-integrity;group-minimum;seed-stability;donor-holdout	true	Full module remains blocked until a qualifying dataset chain exists.
ICC-M02	HCC-CS-R03	ICC spatial and clinical validation	Test any retained spatial and outcome claims	Spatial and/or bulk data with independent patient IDs and complete endpoints	Replicated spatial source tables and/or clinical model diagnostics	identifier-integrity;spatial-null;endpoint-integrity;external-validation	true	Figure set must shrink if no dataset can complete the corresponding paper task.
ICC-M03	HCC-CS-R03	ICC virtual perturbation	Prioritize candidate state shifts only after source/target states are robust	Pinned model and donor-disjoint ICC cell states	Stable rankings, nulls, baselines and orthogonal checks	tokenization;donor-split;seed-stability;label-permutation;simple-baseline	true	Not executable from the anchor's excluded ICC manifest alone.
