specificity	TF	TCGA	GSE81089	GSE41271	combination
LUAD	ABHD14B	TRUE	FALSE	TRUE	TCGA+GSE41271
LUAD	ABRA	TRUE	FALSE	FALSE	TCGA
LUAD	ACTR8	FALSE	TRUE	FALSE	GSE81089
LUAD	ANKRD33	FALSE	FALSE	TRUE	GSE41271
LUAD	APBB1	TRUE	FALSE	FALSE	TCGA
LUAD	AR	FALSE	FALSE	TRUE	GSE41271
LUAD	ARID4A	FALSE	TRUE	FALSE	GSE81089
LUAD	ARID4B	FALSE	TRUE	FALSE	GSE81089
LUAD	ARX	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	ASCL5	TRUE	FALSE	FALSE	TCGA
LUAD	ATF6	FALSE	TRUE	FALSE	GSE81089
LUAD	ATOH8	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	BATF	FALSE	FALSE	TRUE	GSE41271
LUAD	BATF2	FALSE	FALSE	TRUE	GSE41271
LUAD	BATF3	TRUE	FALSE	FALSE	TCGA
LUAD	BCL6B	FALSE	FALSE	TRUE	GSE41271
LUAD	BCL9	FALSE	TRUE	TRUE	GSE81089+GSE41271
LUAD	BCLAF3	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	BCOR	FALSE	TRUE	FALSE	GSE81089
LUAD	BICRAL	FALSE	TRUE	FALSE	GSE81089
LUAD	BMP2	FALSE	FALSE	TRUE	GSE41271
LUAD	BMP4	FALSE	TRUE	TRUE	GSE81089+GSE41271
LUAD	BRPF3	FALSE	TRUE	TRUE	GSE81089+GSE41271
LUAD	CALCOCO1	FALSE	TRUE	TRUE	GSE81089+GSE41271
LUAD	CAMTA1	FALSE	FALSE	TRUE	GSE41271
LUAD	CARF	FALSE	TRUE	FALSE	GSE81089
LUAD	CC2D1B	FALSE	FALSE	TRUE	GSE41271
LUAD	CCDC62	FALSE	FALSE	TRUE	GSE41271
LUAD	CEBPB	FALSE	FALSE	TRUE	GSE41271
LUAD	CEBPD	FALSE	TRUE	FALSE	GSE81089
LUAD	CHD2	FALSE	TRUE	FALSE	GSE81089
LUAD	CIITA	TRUE	FALSE	TRUE	TCGA+GSE41271
LUAD	CLOCK	FALSE	TRUE	FALSE	GSE81089
LUAD	CREB3L1	FALSE	TRUE	FALSE	GSE81089
LUAD	CREB3L2	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	CREB3L4	FALSE	TRUE	FALSE	GSE81089
LUAD	CREBL2	FALSE	TRUE	FALSE	GSE81089
LUAD	CREBRF	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	CRY2	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	CSRNP1	TRUE	FALSE	FALSE	TCGA
LUAD	CTBP2	FALSE	TRUE	FALSE	GSE81089
LUAD	CTNNB1	FALSE	TRUE	FALSE	GSE81089
LUAD	DLX4	FALSE	TRUE	FALSE	GSE81089
LUAD	DMRTC2	TRUE	FALSE	FALSE	TCGA
LUAD	DRGX	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	E2F5	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	ELF2	FALSE	TRUE	FALSE	GSE81089
LUAD	ELF3	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	ELF5	TRUE	FALSE	FALSE	TCGA
LUAD	EPAS1	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	EPC1	FALSE	TRUE	TRUE	GSE81089+GSE41271
LUAD	EPC2	FALSE	TRUE	FALSE	GSE81089
LUAD	ESR1	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	ETV1	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	FHL5	FALSE	FALSE	TRUE	GSE41271
LUAD	FOS	FALSE	FALSE	TRUE	GSE41271
LUAD	FOXA1	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	FOXA2	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	FOXA3	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	FOXD2	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	FOXJ1	FALSE	TRUE	TRUE	GSE81089+GSE41271
LUAD	FOXP1	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	FOXP4	TRUE	FALSE	TRUE	TCGA+GSE41271
LUAD	GATA2	FALSE	FALSE	TRUE	GSE41271
LUAD	GATA5	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	GATA6	TRUE	FALSE	FALSE	TCGA
LUAD	GCM1	TRUE	FALSE	FALSE	TCGA
LUAD	GLIS3	TRUE	FALSE	TRUE	TCGA+GSE41271
LUAD	GPBP1	FALSE	TRUE	FALSE	GSE81089
LUAD	GPBP1L1	FALSE	TRUE	FALSE	GSE81089
LUAD	HBP1	FALSE	TRUE	FALSE	GSE81089
LUAD	HDX	FALSE	TRUE	FALSE	GSE81089
LUAD	HNF1A	TRUE	FALSE	FALSE	TCGA
LUAD	HNF1B	TRUE	FALSE	FALSE	TCGA
LUAD	HNF4G	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	HOPX	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	HOXB5	FALSE	FALSE	TRUE	GSE41271
LUAD	HOXD1	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	IKZF4	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	IKZF5	FALSE	TRUE	FALSE	GSE81089
LUAD	IL4	TRUE	FALSE	FALSE	TCGA
LUAD	INSM2	TRUE	FALSE	FALSE	TCGA
LUAD	IRF7	TRUE	FALSE	TRUE	TCGA+GSE41271
LUAD	IRF8	FALSE	FALSE	TRUE	GSE41271
LUAD	IRX3	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	IRX5	FALSE	TRUE	TRUE	GSE81089+GSE41271
LUAD	JADE1	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	JADE3	FALSE	TRUE	FALSE	GSE81089
LUAD	JMJD1C	FALSE	TRUE	TRUE	GSE81089+GSE41271
LUAD	JUN	FALSE	FALSE	TRUE	GSE41271
LUAD	KANK2	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	KAT2B	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	KAT8	FALSE	TRUE	FALSE	GSE81089
LUAD	KLF15	FALSE	TRUE	FALSE	GSE81089
LUAD	KLF2	TRUE	FALSE	TRUE	TCGA+GSE41271
LUAD	KLF9	TRUE	FALSE	TRUE	TCGA+GSE41271
LUAD	KMT2C	FALSE	TRUE	FALSE	GSE81089
LUAD	KMT2E	FALSE	TRUE	FALSE	GSE81089
LUAD	LBH	FALSE	FALSE	TRUE	GSE41271
LUAD	LDB2	FALSE	FALSE	TRUE	GSE41271
LUAD	LHX9	TRUE	FALSE	FALSE	TCGA
LUAD	LIMD1	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	LMO2	FALSE	FALSE	TRUE	GSE41271
LUAD	LMO3	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	LPIN2	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	LRRFIP1	FALSE	TRUE	FALSE	GSE81089
LUAD	LYL1	TRUE	FALSE	TRUE	TCGA+GSE41271
LUAD	MAFA	FALSE	FALSE	TRUE	GSE41271
LUAD	MAGEC3	TRUE	FALSE	FALSE	TCGA
LUAD	MAGED2	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	MAGEE2	TRUE	FALSE	FALSE	TCGA
LUAD	MAML3	FALSE	TRUE	FALSE	GSE81089
LUAD	MDFIC	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	MECOM	FALSE	TRUE	FALSE	GSE81089
LUAD	MEF2C	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	MEF2D	TRUE	FALSE	TRUE	TCGA+GSE41271
LUAD	MEIS3P1	TRUE	FALSE	TRUE	TCGA+GSE41271
LUAD	MEIS3P2	TRUE	FALSE	FALSE	TCGA
LUAD	MESP1	TRUE	FALSE	TRUE	TCGA+GSE41271
LUAD	MIER1	FALSE	TRUE	TRUE	GSE81089+GSE41271
LUAD	MITF	TRUE	FALSE	TRUE	TCGA+GSE41271
LUAD	MLLT3	TRUE	FALSE	FALSE	TCGA
LUAD	MLLT6	TRUE	FALSE	FALSE	TCGA
LUAD	MLX	FALSE	TRUE	FALSE	GSE81089
LUAD	MRTFB	FALSE	TRUE	FALSE	GSE81089
LUAD	MSANTD1	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	MXD4	TRUE	FALSE	TRUE	TCGA+GSE41271
LUAD	MYRF	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	MYRFL	TRUE	FALSE	FALSE	TCGA
LUAD	NANOGP1	TRUE	FALSE	FALSE	TCGA
LUAD	NCOA2	FALSE	TRUE	FALSE	GSE81089
LUAD	NCOA7	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	NEUROG3	TRUE	FALSE	FALSE	TCGA
LUAD	NFATC2	TRUE	FALSE	FALSE	TCGA
LUAD	NFATC4	TRUE	FALSE	FALSE	TCGA
LUAD	NFE2	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	NKX2-1	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	NOTO	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	NR0B2	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	NR1H4	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	NR2F1	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	NR2F6	TRUE	FALSE	FALSE	TCGA
LUAD	NR3C1	FALSE	TRUE	FALSE	GSE81089
LUAD	NR3C2	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	NR4A1	FALSE	FALSE	TRUE	GSE41271
LUAD	NR4A2	FALSE	FALSE	TRUE	GSE41271
LUAD	NR4A3	FALSE	FALSE	TRUE	GSE41271
LUAD	NR5A2	FALSE	FALSE	TRUE	GSE41271
LUAD	OLIG1	TRUE	FALSE	FALSE	TCGA
LUAD	ONECUT1	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	OSR1	FALSE	FALSE	TRUE	GSE41271
LUAD	OVOL2	FALSE	TRUE	FALSE	GSE81089
LUAD	PBX2	FALSE	FALSE	TRUE	GSE41271
LUAD	PBX3	FALSE	FALSE	TRUE	GSE41271
LUAD	PBX4	FALSE	FALSE	TRUE	GSE41271
LUAD	PEG3	FALSE	FALSE	TRUE	GSE41271
LUAD	PER1	FALSE	FALSE	TRUE	GSE41271
LUAD	PER3	FALSE	TRUE	TRUE	GSE81089+GSE41271
LUAD	PHC2	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	PLAC8	FALSE	FALSE	TRUE	GSE41271
LUAD	POU1F1	TRUE	FALSE	FALSE	TCGA
LUAD	POU3F2	FALSE	TRUE	FALSE	GSE81089
LUAD	PPARGC1A	TRUE	FALSE	TRUE	TCGA+GSE41271
LUAD	PRDM16	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	PRDM5	FALSE	TRUE	FALSE	GSE81089
LUAD	PRDM8	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	RARA	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	RCOR3	FALSE	FALSE	TRUE	GSE41271
LUAD	RFX5	FALSE	TRUE	TRUE	GSE81089+GSE41271
LUAD	RNF10	FALSE	FALSE	TRUE	GSE41271
LUAD	RORB	TRUE	FALSE	TRUE	TCGA+GSE41271
LUAD	RORC	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	RPS6KA1	FALSE	TRUE	FALSE	GSE81089
LUAD	RUNX1T1	FALSE	FALSE	TRUE	GSE41271
LUAD	RYBP	FALSE	FALSE	TRUE	GSE41271
LUAD	SALL2	FALSE	TRUE	TRUE	GSE81089+GSE41271
LUAD	SAMD11	TRUE	FALSE	FALSE	TCGA
LUAD	SAP18	FALSE	FALSE	TRUE	GSE41271
LUAD	SCMH1	FALSE	TRUE	FALSE	GSE81089
LUAD	SIRT1	FALSE	TRUE	TRUE	GSE81089+GSE41271
LUAD	SLC30A9	FALSE	TRUE	FALSE	GSE81089
LUAD	SMAD6	TRUE	FALSE	TRUE	TCGA+GSE41271
LUAD	SMAD7	TRUE	FALSE	FALSE	TCGA
LUAD	SMARCD3	FALSE	FALSE	TRUE	GSE41271
LUAD	SMARCE1	FALSE	FALSE	TRUE	GSE41271
LUAD	SOX18	FALSE	FALSE	TRUE	GSE41271
LUAD	SP110	TRUE	FALSE	TRUE	TCGA+GSE41271
LUAD	SP4	FALSE	TRUE	FALSE	GSE81089
LUAD	SP5	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	SPDEF	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	SPIN3	FALSE	TRUE	FALSE	GSE81089
LUAD	SPIN4	FALSE	TRUE	FALSE	GSE81089
LUAD	STAT3	FALSE	TRUE	FALSE	GSE81089
LUAD	STAT4	FALSE	FALSE	TRUE	GSE41271
LUAD	STAT5A	FALSE	FALSE	TRUE	GSE41271
LUAD	STAT5B	FALSE	FALSE	TRUE	GSE41271
LUAD	TADA2B	FALSE	TRUE	FALSE	GSE81089
LUAD	TBX15	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	TBX4	TRUE	FALSE	TRUE	TCGA+GSE41271
LUAD	TBXT	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	TCF21	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	TCF7L2	FALSE	TRUE	FALSE	GSE81089
LUAD	TFAP2D	FALSE	TRUE	TRUE	GSE81089+GSE41271
LUAD	TFCP2L1	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
