check	observed	expected	pass
tnbc.full_three_system_result_recovered	True	True	TRUE
tnbc.triple_tf_count	31	31	TRUE
tnbc.intersection_mismatch_count	0	0	TRUE
tnbc.lor_mismatch_count	0	0	TRUE
inputs.all_samples	"{""PDX"": 13, ""cell_line"": 19, ""patient"": 22}"	"{""PDX"": 13, ""cell_line"": 19, ""patient"": 22}"	TRUE
inputs.matchable_samples	"{""PDX"": 10, ""cell_line"": 19, ""patient"": 22}"	"{""PDX"": 10, ""cell_line"": 19, ""patient"": 22}"	TRUE
target.patient.TCGA-44-3918.count	3584	3584	TRUE
target.patient.TCGA-44-3918.width	[200]	[200]	TRUE
target.patient.TCGA-44-6146.count	3584	3584	TRUE
target.patient.TCGA-44-6146.width	[200]	[200]	TRUE
target.patient.TCGA-44-A47F.count	3584	3584	TRUE
target.patient.TCGA-44-A47F.width	[200]	[200]	TRUE
target.patient.TCGA-49-AARO.count	3584	3584	TRUE
target.patient.TCGA-49-AARO.width	[200]	[200]	TRUE
target.patient.TCGA-4B-A93V.count	3584	3584	TRUE
target.patient.TCGA-4B-A93V.width	[200]	[200]	TRUE
target.patient.TCGA-73-A9RS.count	3584	3584	TRUE
target.patient.TCGA-73-A9RS.width	[200]	[200]	TRUE
target.patient.TCGA-86-A4D0.count	3584	3584	TRUE
target.patient.TCGA-86-A4D0.width	[200]	[200]	TRUE
target.patient.TCGA-86-A4P7.count	3584	3584	TRUE
target.patient.TCGA-86-A4P7.width	[200]	[200]	TRUE
target.patient.TCGA-86-A4P8.count	3584	3584	TRUE
target.patient.TCGA-86-A4P8.width	[200]	[200]	TRUE
target.patient.TCGA-91-A4BC.count	3584	3584	TRUE
target.patient.TCGA-91-A4BC.width	[200]	[200]	TRUE
target.patient.TCGA-91-A4BD.count	3584	3584	TRUE
target.patient.TCGA-91-A4BD.width	[200]	[200]	TRUE
target.patient.TCGA-93-A4JN.count	3584	3584	TRUE
target.patient.TCGA-93-A4JN.width	[200]	[200]	TRUE
target.patient.TCGA-93-A4JO.count	3584	3584	TRUE
target.patient.TCGA-93-A4JO.width	[200]	[200]	TRUE
target.patient.TCGA-93-A4JQ.count	3584	3584	TRUE
target.patient.TCGA-93-A4JQ.width	[200]	[200]	TRUE
target.patient.TCGA-L4-A4E6.count	3584	3584	TRUE
target.patient.TCGA-L4-A4E6.width	[200]	[200]	TRUE
target.patient.TCGA-L9-A8F4.count	3584	3584	TRUE
target.patient.TCGA-L9-A8F4.width	[200]	[200]	TRUE
target.patient.TCGA-MP-A4SV.count	3584	3584	TRUE
target.patient.TCGA-MP-A4SV.width	[200]	[200]	TRUE
target.patient.TCGA-MP-A4T4.count	3584	3584	TRUE
target.patient.TCGA-MP-A4T4.width	[200]	[200]	TRUE
target.patient.TCGA-MP-A4T7.count	3584	3584	TRUE
target.patient.TCGA-MP-A4T7.width	[200]	[200]	TRUE
target.patient.TCGA-MP-A4TE.count	3584	3584	TRUE
target.patient.TCGA-MP-A4TE.width	[200]	[200]	TRUE
target.patient.TCGA-MP-A4TF.count	3584	3584	TRUE
