analysis	system	TF	n_positive	denominator	half_sample_cutoff	supported	denominator_type
unharmonized_original	patient	NKX2-1	22	22	11	TRUE	completed_samples_in_old_run
unharmonized_original	patient	FOXA1	22	22	11	TRUE	completed_samples_in_old_run
unharmonized_original	patient	FOXA2	22	22	11	TRUE	completed_samples_in_old_run
unharmonized_original	patient	CEBPA	22	22	11	TRUE	completed_samples_in_old_run
unharmonized_original	patient	CEBPB	22	22	11	TRUE	completed_samples_in_old_run
unharmonized_original	patient	GATA6	22	22	11	TRUE	completed_samples_in_old_run
unharmonized_original	patient	HNF4A	22	22	11	TRUE	completed_samples_in_old_run
unharmonized_original	patient	ELF3	22	22	11	TRUE	completed_samples_in_old_run
unharmonized_original	PDX	NKX2-1	0	11	6	FALSE	completed_samples_in_old_run
unharmonized_original	PDX	FOXA1	0	11	6	FALSE	completed_samples_in_old_run
unharmonized_original	PDX	FOXA2	0	11	6	FALSE	completed_samples_in_old_run
unharmonized_original	PDX	CEBPA	0	11	6	FALSE	completed_samples_in_old_run
unharmonized_original	PDX	CEBPB	0	11	6	FALSE	completed_samples_in_old_run
unharmonized_original	PDX	GATA6	0	11	6	FALSE	completed_samples_in_old_run
unharmonized_original	PDX	HNF4A	0	11	6	FALSE	completed_samples_in_old_run
unharmonized_original	PDX	ELF3	0	11	6	FALSE	completed_samples_in_old_run
unharmonized_original	cell_line	NKX2-1	0	19	10	FALSE	completed_samples_in_old_run
unharmonized_original	cell_line	FOXA1	0	19	10	FALSE	completed_samples_in_old_run
unharmonized_original	cell_line	FOXA2	0	19	10	FALSE	completed_samples_in_old_run
unharmonized_original	cell_line	CEBPA	0	19	10	FALSE	completed_samples_in_old_run
unharmonized_original	cell_line	CEBPB	0	19	10	FALSE	completed_samples_in_old_run
unharmonized_original	cell_line	GATA6	0	19	10	FALSE	completed_samples_in_old_run
unharmonized_original	cell_line	HNF4A	0	19	10	FALSE	completed_samples_in_old_run
unharmonized_original	cell_line	ELF3	0	19	10	FALSE	completed_samples_in_old_run
anchor_equivalent_candidate	patient	CEBPA	0	22	11	FALSE	fixed
anchor_equivalent_candidate	patient	CEBPB	9	22	11	FALSE	fixed
anchor_equivalent_candidate	patient	ELF3	0	22	11	FALSE	fixed
anchor_equivalent_candidate	patient	FOXA1	0	22	11	FALSE	fixed
anchor_equivalent_candidate	patient	FOXA2	0	22	11	FALSE	fixed
anchor_equivalent_candidate	patient	GATA6	0	22	11	FALSE	fixed
anchor_equivalent_candidate	patient	HNF4A	0	22	11	FALSE	fixed
anchor_equivalent_candidate	patient	NKX2-1	0	22	11	FALSE	fixed
anchor_equivalent_candidate	PDX	CEBPA	1	13	7	FALSE	fixed
anchor_equivalent_candidate	PDX	CEBPB	7	13	7	TRUE	fixed
anchor_equivalent_candidate	PDX	ELF3	0	13	7	FALSE	fixed
anchor_equivalent_candidate	PDX	FOXA1	0	13	7	FALSE	fixed
anchor_equivalent_candidate	PDX	FOXA2	0	13	7	FALSE	fixed
anchor_equivalent_candidate	PDX	GATA6	0	13	7	FALSE	fixed
anchor_equivalent_candidate	PDX	HNF4A	1	13	7	FALSE	fixed
anchor_equivalent_candidate	PDX	NKX2-1	0	13	7	FALSE	fixed
anchor_equivalent_candidate	cell_line	CEBPA	0	19	10	FALSE	fixed
anchor_equivalent_candidate	cell_line	CEBPB	2	19	10	FALSE	fixed
anchor_equivalent_candidate	cell_line	ELF3	0	19	10	FALSE	fixed
anchor_equivalent_candidate	cell_line	FOXA1	0	19	10	FALSE	fixed
