item_id	kind	name	specification	required	test_id	failure_action	notes
BFS-IN-01	input	Patient-level expression table	Exactly one uniquely identified row per patient and all locked features available after the declared mapping.	true	test_geo_metadata_requires_complete_unique_identifiers	fail_closed	The current test covers a valid unique 300-patient parse; the dedicated malformed-identity rejection case remains registered as not_run.
BFS-IN-02	input	Locked computable model specification	Feature order, coefficients, input scale, feature mapping, duplicate policy, normalization reference, cutoff, and output definition are fixed.	true	test_nrrs_uses_sample_sd_and_published_coefficient_order;test_probe_aggregation_is_outcome_blind_and_deterministic;test_median_grouping_is_balanced_with_ties	fail_closed	A gene list plus coefficients alone is insufficient.
BFS-OUT-01	output	Patient score source table	One auditable row per patient containing identifier, transformed features, score, and prespecified group.	true	test_patient_source_table_contract_fails_closed	fail_closed	The dedicated test rejects duplicate patient IDs and schema loss; the source table is primary and figures are derived artifacts.
BFS-OUT-02	output	Association and sensitivity summary	Effect estimates, uncertainty, cutoff, mapping sensitivity, sample counts, and limitations are machine-readable.	true	test_expected_result_contract_passes_and_fails_closed;test_kaplan_meier_plot_is_noninteractive_and_written	fail_closed	A significant plot without its source estimates is not an accepted output.
BFS-INV-01	invariant	Feature order and scale invariance	Scoring follows the locked coefficient order and declared transform with no outcome-guided remapping.	true	test_nrrs_uses_sample_sd_and_published_coefficient_order;test_probe_aggregation_is_outcome_blind_and_deterministic	fail_closed	Changing scale or order creates a new model specification.
BFS-INV-02	invariant	Patient is the inferential unit	Rows used in inference are independent patients or an explicitly modeled repeated-measure design.	true	test_geo_metadata_requires_complete_unique_identifiers	fail_closed	The reference run is patient-level; negative malformed-identity behavior is a declared, unpassed gap rather than inferred coverage.
BFS-INV-03	invariant	Expected-output contract fails closed	A changed required result or output schema stops acceptance instead of silently replacing the expected contract.	true	test_expected_result_contract_passes_and_fails_closed	fail_closed	This release does not yet claim a dedicated negative missing-feature test.
BFS-INV-04	invariant	Cutoff cannot borrow validation outcome	The grouping threshold is deterministic and does not optimize on the outcome under test.	true	test_median_grouping_is_balanced_with_ties	limit_claim	A development-exposed cohort cannot be labeled untouched external validation.
BFS-ASSUME-01	assumption	Cohort-relative transform	A cohort-specific transform supports retrospective stratification but not single-patient deployment without a frozen external reference.	false		limit_claim	This is a claim boundary rather than a pass/fail code condition.
BFS-FAIL-01	failure_condition	Contract or resource mismatch	A resource or expected-output mismatch returns a non-zero failure before scientific interpretation.	true	test_resource_verification_fails_closed_on_change;test_expected_result_contract_passes_and_fails_closed	fail_closed	Both the resource-change and expected-result mismatch paths have dedicated passed adversarial cases; failures remain separate from later successes.
