TF	B0_triple_support	B1_triple_support	B2_triple_support	B3_triple_support	backgrounds_with_triple_support	stable_all_four_backgrounds	primary_B0_supported
CREB3L2	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE
E2F5	FALSE	FALSE	FALSE	TRUE	1	FALSE	FALSE
ELF3	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE
ETV1	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE
FOXA3	TRUE	TRUE	TRUE	TRUE	4	TRUE	TRUE
FOXD2	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE
NFATC4	TRUE	TRUE	TRUE	TRUE	4	TRUE	TRUE
NR3C2	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE
XBP1	TRUE	TRUE	TRUE	TRUE	4	TRUE	TRUE
ZBTB18	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE
ZNF141	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE
ZNF19	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE
ZNF254	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE
ZNF281	FALSE	FALSE	FALSE	TRUE	1	FALSE	FALSE
ZNF33A	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE
ZNF33B	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE
ZNF341	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE
ZNF444	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE
ZNF540	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE
ZNF75D	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE
